EHAM,SKBO,05:21+02:00,21:42-05:00,0,false|EHAM,SEQM,05:21+02:00,11:15-05:00,340|SEQM,SKBO,19:55-05:00,21:42-05:00,360
EHAM,SEQM,23:56+02:00,13:34-05:00,2,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,RJTT,23:31+02:00,09:57+09:00,340|RJTT,SEQM,13:52+09:00,13:34-05:00,320
EHAM,SEQM,23:56+02:00,22:10-05:00,2,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,RJTT,23:31+02:00,09:57+09:00,340|RJTT,SEQM,22:28+09:00,22:10-05:00,300
EHAM,SEQM,23:56+02:00,21:36-05:00,1,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,WMKK,04:59+02:00,18:02+08:00,300|WMKK,SEQM,20:18+08:00,21:36-05:00,340
EHAM,SEQM,23:56+02:00,13:02-05:00,2,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,WMKK,17:33+02:00,07:36+08:00,340|WMKK,SEQM,12:44+08:00,13:02-05:00,360
EHAM,SEQM,23:56+02:00,21:36-05:00,2,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,WMKK,17:33+02:00,07:36+08:00,340|WMKK,SEQM,20:18+08:00,21:36-05:00,340
EHAM,SEQM,23:56+02:00,13:02-05:00,2,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,WMKK,21:37+02:00,11:40+08:00,340|WMKK,SEQM,12:44+08:00,13:02-05:00,360
EHAM,SEQM,23:56+02:00,21:36-05:00,2,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,WMKK,21:37+02:00,11:40+08:00,340|WMKK,SEQM,20:18+08:00,21:36-05:00,340
EHAM,SEQM,23:56+02:00,16:40-05:00,2,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,WSSS,11:43+02:00,01:55+08:00,360|WSSS,SEQM,15:22+08:00,16:40-05:00,360
EHAM,SEQM,23:56+02:00,16:40-05:00,2,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,WSSS,17:25+02:00,07:37+08:00,300|WSSS,SEQM,15:22+08:00,16:40-05:00,360
EHAM,SEQM,23:56+02:00,16:40-05:00,2,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,WSSS,21:27+02:00,11:39+08:00,300|WSSS,SEQM,15:22+08:00,16:40-05:00,360
EHAM,SEQM,23:56+02:00,05:00-05:00,2,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,WIII,14:09+02:00,04:59+07:00,360|WIII,SEQM,06:29+07:00,05:00-05:00,360
EHAM,SEQM,23:56+02:00,13:16-05:00,2,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,WIII,14:09+02:00,04:59+07:00,360|WIII,SEQM,14:45+07:00,13:16-05:00,320
EHAM,SEQM,23:56+02:00,17:32-05:00,2,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,WIII,14:09+02:00,04:59+07:00,360|WIII,SEQM,18:01+07:00,17:32-05:00,300
EHAM,SEQM,23:56+02:00,13:16-05:00,2,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,WIII,17:35+02:00,07:25+07:00,300|WIII,SEQM,14:45+07:00,13:16-05:00,320
EHAM,SEQM,23:56+02:00,17:32-05:00,2,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,WIII,17:35+02:00,07:25+07:00,300|WIII,SEQM,18:01+07:00,17:32-05:00,300
EHAM,SEQM,23:56+02:00,16:23-05:00,1,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,RPLL,03:18+02:00,15:39+08:00,360|RPLL,SEQM,15:48+08:00,16:23-05:00,320
EHAM,SEQM,23:56+02:00,22:36-05:00,1,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,RPLL,03:18+02:00,15:39+08:00,360|RPLL,SEQM,21:01+08:00,22:36-05:00,340
EHAM,SEQM,23:56+02:00,05:38-05:00,2,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,RPLL,12:24+02:00,00:45+08:00,340|RPLL,SEQM,04:03+08:00,05:38-05:00,360
EHAM,SEQM,23:56+02:00,09:04-05:00,2,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,RPLL,12:24+02:00,00:45+08:00,340|RPLL,SEQM,08:29+08:00,09:04-05:00,320
EHAM,SEQM,23:56+02:00,16:23-05:00,2,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,RPLL,12:24+02:00,00:45+08:00,340|RPLL,SEQM,15:48+08:00,16:23-05:00,320
EHAM,SEQM,23:56+02:00,22:36-05:00,2,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,RPLL,12:24+02:00,00:45+08:00,340|RPLL,SEQM,21:01+08:00,22:36-05:00,340
EHAM,SEQM,23:56+02:00,09:04-05:00,2,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,RPLL,17:55+02:00,05:16+08:00,360|RPLL,SEQM,08:29+08:00,09:04-05:00,320
EHAM,SEQM,23:56+02:00,16:23-05:00,2,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,RPLL,17:55+02:00,05:16+08:00,360|RPLL,SEQM,15:48+08:00,16:23-05:00,320
EHAM,SEQM,23:56+02:00,22:36-05:00,2,false|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,RPLL,17:55+02:00,05:16+08:00,360|RPLL,SEQM,21:01+08:00,22:36-05:00,340
EHAM,SEQM,03:43+02:00,13:00-05:00,0,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,SEQM,06:25+02:00,13:00-05:00,360
EHAM,SEQM,03:43+02:00,23:47-05:00,0,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,SEQM,16:12+02:00,23:47-05:00,360
EHAM,SEQM,03:43+02:00,03:41-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,SEQM,20:06+02:00,03:41-05:00,340
EHAM,SEQM,03:43+02:00,17:59-05:00,0,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,SVMI,06:22+02:00,12:51-04:00,360|SVMI,SEQM,14:49-04:00,17:59-05:00,300
EHAM,SEQM,03:43+02:00,23:48-05:00,0,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,SVMI,06:22+02:00,12:51-04:00,360|SVMI,SEQM,20:38-04:00,23:48-05:00,340
EHAM,SEQM,03:43+02:00,17:59-05:00,0,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,SVMI,08:50+02:00,14:19-04:00,320|SVMI,SEQM,14:49-04:00,17:59-05:00,300
EHAM,SEQM,03:43+02:00,23:48-05:00,0,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,SVMI,08:50+02:00,14:19-04:00,320|SVMI,SEQM,20:38-04:00,23:48-05:00,340
EHAM,SEQM,03:43+02:00,05:10-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,SVMI,18:53+02:00,00:22-04:00,300|SVMI,SEQM,02:00-04:00,05:10-05:00,340
EHAM,SEQM,03:43+02:00,17:59-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,SVMI,18:53+02:00,00:22-04:00,300|SVMI,SEQM,14:49-04:00,17:59-05:00,300
EHAM,SEQM,03:43+02:00,23:48-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,SVMI,18:53+02:00,00:22-04:00,300|SVMI,SEQM,20:38-04:00,23:48-05:00,340
EHAM,SEQM,03:43+02:00,01:49-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,SLLP,10:19+02:00,19:57-04:00,360|SLLP,SEQM,22:12-04:00,01:49-05:00,360
EHAM,SEQM,03:43+02:00,06:20-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,SLLP,17:42+02:00,02:20-04:00,300|SLLP,SEQM,03:43-04:00,06:20-05:00,320
EHAM,SEQM,03:43+02:00,13:23-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,SLLP,17:42+02:00,02:20-04:00,300|SLLP,SEQM,10:46-04:00,13:23-05:00,320
EHAM,SEQM,03:43+02:00,20:31-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,SLLP,17:42+02:00,02:20-04:00,300|SLLP,SEQM,17:54-04:00,20:31-05:00,320
EHAM,SEQM,03:43+02:00,01:49-05:00,2,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,SLLP,17:42+02:00,02:20-04:00,300|SLLP,SEQM,22:12-04:00,01:49-05:00,360
EHAM,SEQM,03:43+02:00,13:23-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,SLLP,21:37+02:00,06:15-04:00,320|SLLP,SEQM,10:46-04:00,13:23-05:00,320
EHAM,SEQM,03:43+02:00,20:31-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,SLLP,21:37+02:00,06:15-04:00,320|SLLP,SEQM,17:54-04:00,20:31-05:00,320
EHAM,SEQM,03:43+02:00,01:49-05:00,2,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,SLLP,21:37+02:00,06:15-04:00,320|SLLP,SEQM,22:12-04:00,01:49-05:00,360
EHAM,SEQM,03:43+02:00,18:31-05:00,0,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,LATI,05:53+02:00,09:56+02:00,360|LATI,SEQM,10:12+02:00,18:31-05:00,320
EHAM,SEQM,03:43+02:00,01:37-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,LATI,05:53+02:00,09:56+02:00,360|LATI,SEQM,17:18+02:00,01:37-05:00,320
EHAM,SEQM,03:43+02:00,01:37-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,LATI,11:47+02:00,15:50+02:00,340|LATI,SEQM,17:18+02:00,01:37-05:00,320
EHAM,SEQM,03:43+02:00,15:59-05:00,0,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,EDDI,06:47+02:00,08:12+02:00,320|EDDI,SEQM,08:19+02:00,15:59-05:00,320
EHAM,SEQM,03:43+02:00,20:12-05:00,0,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,EDDI,06:47+02:00,08:12+02:00,320|EDDI,SEQM,13:32+02:00,20:12-05:00,320
EHAM,SEQM,03:43+02:00,04:33-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,EDDI,06:47+02:00,08:12+02:00,320|EDDI,SEQM,21:53+02:00,04:33-05:00,360
EHAM,SEQM,03:43+02:00,04:33-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,EDDI,17:20+02:00,19:45+02:00,340|EDDI,SEQM,21:53+02:00,04:33-05:00,360
EHAM,SEQM,03:43+02:00,04:33-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,EDDI,18:37+02:00,20:02+02:00,340|EDDI,SEQM,21:53+02:00,04:33-05:00,360
EHAM,SEQM,03:43+02:00,21:53-05:00,0,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,LOWW,06:32+02:00,09:34+02:00,340|LOWW,SEQM,14:56+02:00,21:53-05:00,320
EHAM,SEQM,03:43+02:00,03:52-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,LOWW,06:32+02:00,09:34+02:00,340|LOWW,SEQM,20:55+02:00,03:52-05:00,360
EHAM,SEQM,03:43+02:00,03:52-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,LOWW,12:47+02:00,15:49+02:00,340|LOWW,SEQM,20:55+02:00,03:52-05:00,360
EHAM,SEQM,03:43+02:00,01:36-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,EBCI,06:57+02:00,08:55+02:00,360|EBCI,SEQM,19:44+02:00,01:36-05:00,300
EHAM,SEQM,03:43+02:00,01:36-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,EBCI,13:11+02:00,15:09+02:00,300|EBCI,SEQM,19:44+02:00,01:36-05:00,300
EHAM,SEQM,03:43+02:00,08:14-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,EBCI,21:58+02:00,23:56+02:00,320|EBCI,SEQM,02:22+02:00,08:14-05:00,340
EHAM,SEQM,03:43+02:00,01:36-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,EBCI,21:58+02:00,23:56+02:00,320|EBCI,SEQM,19:44+02:00,01:36-05:00,300
EHAM,SEQM,03:43+02:00,06:31-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,UMMS,11:30+02:00,15:50+03:00,320|UMMS,SEQM,23:36+03:00,06:31-05:00,360
EHAM,SEQM,03:43+02:00,06:31-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,UMMS,12:15+02:00,16:35+03:00,320|UMMS,SEQM,23:36+03:00,06:31-05:00,360
EHAM,SEQM,03:43+02:00,16:50-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,LBSF,21:53+02:00,02:57+03:00,360|LBSF,SEQM,09:07+03:00,16:50-05:00,300
EHAM,SEQM,03:43+02:00,21:17-05:00,0,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,LKPR,05:39+02:00,07:22+02:00,320|LKPR,SEQM,14:31+02:00,21:17-05:00,360
EHAM,SEQM,03:43+02:00,23:16-05:00,0,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,LKPR,05:39+02:00,07:22+02:00,320|LKPR,SEQM,16:30+02:00,23:16-05:00,300
EHAM,SEQM,03:43+02:00,21:17-05:00,0,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,LKPR,06:07+02:00,08:50+02:00,300|LKPR,SEQM,14:31+02:00,21:17-05:00,360
EHAM,SEQM,03:43+02:00,23:16-05:00,0,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,LKPR,06:07+02:00,08:50+02:00,300|LKPR,SEQM,16:30+02:00,23:16-05:00,300
EHAM,SEQM,03:43+02:00,23:16-05:00,0,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,LKPR,13:21+02:00,15:04+02:00,320|LKPR,SEQM,16:30+02:00,23:16-05:00,300
EHAM,SEQM,03:43+02:00,20:46-05:00,0,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,LDZA,06:04+02:00,09:30+02:00,340|LDZA,SEQM,13:47+02:00,20:46-05:00,300
EHAM,SEQM,03:43+02:00,06:39-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,LDZA,06:04+02:00,09:30+02:00,340|LDZA,SEQM,23:40+02:00,06:39-05:00,300
EHAM,SEQM,03:43+02:00,06:39-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,LDZA,11:31+02:00,14:57+02:00,360|LDZA,SEQM,23:40+02:00,06:39-05:00,300
EHAM,SEQM,03:43+02:00,13:28-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,LDZA,21:23+02:00,00:49+02:00,300|LDZA,SEQM,06:29+02:00,13:28-05:00,320
EHAM,SEQM,03:43+02:00,20:46-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,LDZA,21:23+02:00,00:49+02:00,300|LDZA,SEQM,13:47+02:00,20:46-05:00,300
EHAM,SEQM,03:43+02:00,23:33-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,VIDP,19:32+02:00,07:58+05:00,300|VIDP,SEQM,11:32+05:00,23:33-05:00,360
EHAM,SEQM,03:43+02:00,01:48-05:00,2,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,VIDP,19:32+02:00,07:58+05:00,300|VIDP,SEQM,13:47+05:00,01:48-05:00,360
EHAM,SEQM,03:43+02:00,17:21-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,VTBS,15:08+02:00,03:00+07:00,320|VTBS,SEQM,15:02+07:00,17:21-05:00,360
EHAM,SEQM,03:43+02:00,17:21-05:00,1,false|EHAM,EKCH,03:43+02:00,05:30+02:00,300|EKCH,VTBS,16:34+02:00,04:26+07:00,300|VTBS,SEQM,15:02+07:00,17:21-05:00,360
EHAM,SEQM,08:25+02:00,23:47-05:00,0,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,SEQM,16:12+02:00,23:47-05:00,360
EHAM,SEQM,08:25+02:00,03:41-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,SEQM,20:06+02:00,03:41-05:00,340
EHAM,SEQM,08:25+02:00,05:10-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,SVMI,18:53+02:00,00:22-04:00,300|SVMI,SEQM,02:00-04:00,05:10-05:00,340
EHAM,SEQM,08:25+02:00,17:59-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,SVMI,18:53+02:00,00:22-04:00,300|SVMI,SEQM,14:49-04:00,17:59-05:00,300
EHAM,SEQM,08:25+02:00,23:48-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,SVMI,18:53+02:00,00:22-04:00,300|SVMI,SEQM,20:38-04:00,23:48-05:00,340
EHAM,SEQM,08:25+02:00,01:49-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,SLLP,10:19+02:00,19:57-04:00,360|SLLP,SEQM,22:12-04:00,01:49-05:00,360
EHAM,SEQM,08:25+02:00,06:20-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,SLLP,17:42+02:00,02:20-04:00,300|SLLP,SEQM,03:43-04:00,06:20-05:00,320
EHAM,SEQM,08:25+02:00,13:23-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,SLLP,17:42+02:00,02:20-04:00,300|SLLP,SEQM,10:46-04:00,13:23-05:00,320
EHAM,SEQM,08:25+02:00,20:31-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,SLLP,17:42+02:00,02:20-04:00,300|SLLP,SEQM,17:54-04:00,20:31-05:00,320
EHAM,SEQM,08:25+02:00,01:49-05:00,2,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,SLLP,17:42+02:00,02:20-04:00,300|SLLP,SEQM,22:12-04:00,01:49-05:00,360
EHAM,SEQM,08:25+02:00,13:23-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,SLLP,21:37+02:00,06:15-04:00,320|SLLP,SEQM,10:46-04:00,13:23-05:00,320
EHAM,SEQM,08:25+02:00,20:31-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,SLLP,21:37+02:00,06:15-04:00,320|SLLP,SEQM,17:54-04:00,20:31-05:00,320
EHAM,SEQM,08:25+02:00,01:49-05:00,2,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,SLLP,21:37+02:00,06:15-04:00,320|SLLP,SEQM,22:12-04:00,01:49-05:00,360
EHAM,SEQM,08:25+02:00,01:37-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,LATI,11:47+02:00,15:50+02:00,340|LATI,SEQM,17:18+02:00,01:37-05:00,320
EHAM,SEQM,08:25+02:00,04:33-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,EDDI,17:20+02:00,19:45+02:00,340|EDDI,SEQM,21:53+02:00,04:33-05:00,360
EHAM,SEQM,08:25+02:00,04:33-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,EDDI,18:37+02:00,20:02+02:00,340|EDDI,SEQM,21:53+02:00,04:33-05:00,360
EHAM,SEQM,08:25+02:00,03:52-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,LOWW,12:47+02:00,15:49+02:00,340|LOWW,SEQM,20:55+02:00,03:52-05:00,360
EHAM,SEQM,08:25+02:00,01:36-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,EBCI,13:11+02:00,15:09+02:00,300|EBCI,SEQM,19:44+02:00,01:36-05:00,300
EHAM,SEQM,08:25+02:00,08:14-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,EBCI,21:58+02:00,23:56+02:00,320|EBCI,SEQM,02:22+02:00,08:14-05:00,340
EHAM,SEQM,08:25+02:00,01:36-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,EBCI,21:58+02:00,23:56+02:00,320|EBCI,SEQM,19:44+02:00,01:36-05:00,300
EHAM,SEQM,08:25+02:00,06:31-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,UMMS,11:30+02:00,15:50+03:00,320|UMMS,SEQM,23:36+03:00,06:31-05:00,360
EHAM,SEQM,08:25+02:00,06:31-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,UMMS,12:15+02:00,16:35+03:00,320|UMMS,SEQM,23:36+03:00,06:31-05:00,360
EHAM,SEQM,08:25+02:00,16:50-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,LBSF,21:53+02:00,02:57+03:00,360|LBSF,SEQM,09:07+03:00,16:50-05:00,300
EHAM,SEQM,08:25+02:00,05:05-05:00,2,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,LBSF,21:53+02:00,02:57+03:00,360|LBSF,SEQM,22:22+03:00,05:05-05:00,300
EHAM,SEQM,08:25+02:00,23:16-05:00,0,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,LKPR,13:21+02:00,15:04+02:00,320|LKPR,SEQM,16:30+02:00,23:16-05:00,300
EHAM,SEQM,08:25+02:00,06:39-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,LDZA,11:31+02:00,14:57+02:00,360|LDZA,SEQM,23:40+02:00,06:39-05:00,300
EHAM,SEQM,08:25+02:00,13:28-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,LDZA,21:23+02:00,00:49+02:00,300|LDZA,SEQM,06:29+02:00,13:28-05:00,320
EHAM,SEQM,08:25+02:00,20:46-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,LDZA,21:23+02:00,00:49+02:00,300|LDZA,SEQM,13:47+02:00,20:46-05:00,300
EHAM,SEQM,08:25+02:00,06:39-05:00,2,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,LDZA,21:23+02:00,00:49+02:00,300|LDZA,SEQM,23:40+02:00,06:39-05:00,300
EHAM,SEQM,08:25+02:00,23:33-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,VIDP,19:32+02:00,07:58+05:00,300|VIDP,SEQM,11:32+05:00,23:33-05:00,360
EHAM,SEQM,08:25+02:00,01:48-05:00,2,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,VIDP,19:32+02:00,07:58+05:00,300|VIDP,SEQM,13:47+05:00,01:48-05:00,360
EHAM,SEQM,08:25+02:00,17:21-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,VTBS,15:08+02:00,03:00+07:00,320|VTBS,SEQM,15:02+07:00,17:21-05:00,360
EHAM,SEQM,08:25+02:00,17:21-05:00,1,false|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,VTBS,16:34+02:00,04:26+07:00,300|VTBS,SEQM,15:02+07:00,17:21-05:00,360
EHAM,SEQM,15:00+02:00,03:41-05:00,1,false|EHAM,EKCH,15:00+02:00,17:47+02:00,300|EKCH,SEQM,20:06+02:00,03:41-05:00,340
EHAM,SEQM,15:00+02:00,05:10-05:00,1,false|EHAM,EKCH,15:00+02:00,17:47+02:00,300|EKCH,SVMI,18:53+02:00,00:22-04:00,300|SVMI,SEQM,02:00-04:00,05:10-05:00,340
EHAM,SEQM,15:00+02:00,17:59-05:00,1,false|EHAM,EKCH,15:00+02:00,17:47+02:00,300|EKCH,SVMI,18:53+02:00,00:22-04:00,300|SVMI,SEQM,14:49-04:00,17:59-05:00,300
EHAM,SEQM,15:00+02:00,23:48-05:00,1,false|EHAM,EKCH,15:00+02:00,17:47+02:00,300|EKCH,SVMI,18:53+02:00,00:22-04:00,300|SVMI,SEQM,20:38-04:00,23:48-05:00,340
EHAM,SEQM,15:00+02:00,13:23-05:00,1,false|EHAM,EKCH,15:00+02:00,17:47+02:00,300|EKCH,SLLP,21:37+02:00,06:15-04:00,320|SLLP,SEQM,10:46-04:00,13:23-05:00,320
EHAM,SEQM,15:00+02:00,20:31-05:00,1,false|EHAM,EKCH,15:00+02:00,17:47+02:00,300|EKCH,SLLP,21:37+02:00,06:15-04:00,320|SLLP,SEQM,17:54-04:00,20:31-05:00,320
EHAM,SEQM,15:00+02:00,01:49-05:00,2,false|EHAM,EKCH,15:00+02:00,17:47+02:00,300|EKCH,SLLP,21:37+02:00,06:15-04:00,320|SLLP,SEQM,22:12-04:00,01:49-05:00,360
EHAM,SEQM,15:00+02:00,04:33-05:00,1,false|EHAM,EKCH,15:00+02:00,17:47+02:00,300|EKCH,EDDI,18:37+02:00,20:02+02:00,340|EDDI,SEQM,21:53+02:00,04:33-05:00,360
EHAM,SEQM,15:00+02:00,08:14-05:00,1,false|EHAM,EKCH,15:00+02:00,17:47+02:00,300|EKCH,EBCI,21:58+02:00,23:56+02:00,320|EBCI,SEQM,02:22+02:00,08:14-05:00,340
EHAM,SEQM,15:00+02:00,01:36-05:00,1,false|EHAM,EKCH,15:00+02:00,17:47+02:00,300|EKCH,EBCI,21:58+02:00,23:56+02:00,320|EBCI,SEQM,19:44+02:00,01:36-05:00,300
EHAM,SEQM,15:00+02:00,16:50-05:00,1,false|EHAM,EKCH,15:00+02:00,17:47+02:00,300|EKCH,LBSF,21:53+02:00,02:57+03:00,360|LBSF,SEQM,09:07+03:00,16:50-05:00,300
EHAM,SEQM,15:00+02:00,05:05-05:00,2,false|EHAM,EKCH,15:00+02:00,17:47+02:00,300|EKCH,LBSF,21:53+02:00,02:57+03:00,360|LBSF,SEQM,22:22+03:00,05:05-05:00,300
EHAM,SEQM,15:00+02:00,13:28-05:00,1,false|EHAM,EKCH,15:00+02:00,17:47+02:00,300|EKCH,LDZA,21:23+02:00,00:49+02:00,300|LDZA,SEQM,06:29+02:00,13:28-05:00,320
EHAM,SEQM,15:00+02:00,20:46-05:00,1,false|EHAM,EKCH,15:00+02:00,17:47+02:00,300|EKCH,LDZA,21:23+02:00,00:49+02:00,300|LDZA,SEQM,13:47+02:00,20:46-05:00,300
EHAM,SEQM,15:00+02:00,06:39-05:00,2,false|EHAM,EKCH,15:00+02:00,17:47+02:00,300|EKCH,LDZA,21:23+02:00,00:49+02:00,300|LDZA,SEQM,23:40+02:00,06:39-05:00,300
EHAM,SEQM,15:00+02:00,23:33-05:00,1,false|EHAM,EKCH,15:00+02:00,17:47+02:00,300|EKCH,VIDP,19:32+02:00,07:58+05:00,300|VIDP,SEQM,11:32+05:00,23:33-05:00,360
