EKCH,SKBO,01:01+02:00,21:42-05:00,0,false|170,EKCH,SEQM,01:01+02:00,08:36-05:00,300|6,SEQM,SKBO,19:55-05:00,21:42-05:00,360
EKCH,SBBR,11:30+02:00,20:50-03:00,1,false|1128,EKCH,UMMS,11:30+02:00,15:50+03:00,320|1167,UMMS,OMDB,19:05+03:00,02:55+04:00,300|502,OMDB,SBBR,11:53+04:00,20:50-03:00,340
EKCH,SBBR,11:30+02:00,01:48-03:00,2,false|1128,EKCH,UMMS,11:30+02:00,15:50+03:00,320|1167,UMMS,OMDB,19:05+03:00,02:55+04:00,300|504,OMDB,SBBR,16:51+04:00,01:48-03:00,320
EKCH,SBBR,11:30+02:00,04:27-03:00,2,false|1128,EKCH,UMMS,11:30+02:00,15:50+03:00,320|1167,UMMS,OMDB,19:05+03:00,02:55+04:00,300|506,OMDB,SBBR,19:30+04:00,04:27-03:00,320
EKCH,SBBR,11:30+02:00,08:58-03:00,1,false|1128,EKCH,UMMS,11:30+02:00,15:50+03:00,320|1173,UMMS,ZBAA,16:56+03:00,01:22+08:00,340|508,ZBAA,SBBR,07:12+08:00,08:58-03:00,360
EKCH,SBBR,11:30+02:00,11:47-03:00,1,false|1128,EKCH,UMMS,11:30+02:00,15:50+03:00,320|1173,UMMS,ZBAA,16:56+03:00,01:22+08:00,340|510,ZBAA,SBBR,10:01+08:00,11:47-03:00,360
EKCH,SBBR,11:30+02:00,18:44-03:00,1,false|1128,EKCH,UMMS,11:30+02:00,15:50+03:00,320|1173,UMMS,ZBAA,16:56+03:00,01:22+08:00,340|512,ZBAA,SBBR,17:58+08:00,18:44-03:00,360
EKCH,SBBR,11:30+02:00,07:44-03:00,1,false|1128,EKCH,UMMS,11:30+02:00,15:50+03:00,320|1179,UMMS,RJTT,17:25+03:00,03:20+09:00,320|514,RJTT,SBBR,07:09+09:00,07:44-03:00,340
EKCH,SBBR,11:30+02:00,15:55-03:00,1,false|1128,EKCH,UMMS,11:30+02:00,15:50+03:00,320|1183,UMMS,WMKK,20:40+03:00,10:06+08:00,300|520,WMKK,SBBR,16:41+08:00,15:55-03:00,320
EKCH,SBBR,11:30+02:00,22:18-03:00,1,false|1128,EKCH,UMMS,11:30+02:00,15:50+03:00,320|1183,UMMS,WMKK,20:40+03:00,10:06+08:00,300|522,WMKK,SBBR,23:04+08:00,22:18-03:00,360
EKCH,SBBR,11:30+02:00,09:04-03:00,1,false|1128,EKCH,UMMS,11:30+02:00,15:50+03:00,320|1187,UMMS,WSSS,20:10+03:00,10:44+08:00,340|526,WSSS,SBBR,10:53+08:00,09:04-03:00,360
EKCH,SBBR,11:30+02:00,15:41-03:00,1,false|1128,EKCH,UMMS,11:30+02:00,15:50+03:00,320|1187,UMMS,WSSS,20:10+03:00,10:44+08:00,340|528,WSSS,SBBR,16:30+08:00,15:41-03:00,320
EKCH,SBBR,11:30+02:00,22:27-03:00,1,false|1128,EKCH,UMMS,11:30+02:00,15:50+03:00,320|1187,UMMS,WSSS,20:10+03:00,10:44+08:00,340|530,WSSS,SBBR,23:16+08:00,22:27-03:00,320
EKCH,SBBR,11:30+02:00,08:19-03:00,1,false|1128,EKCH,UMMS,11:30+02:00,15:50+03:00,320|1195,UMMS,WIII,19:27+03:00,10:50+07:00,340|534,WIII,SBBR,11:05+07:00,08:19-03:00,320
EKCH,SBBR,11:30+02:00,17:15-03:00,1,false|1128,EKCH,UMMS,11:30+02:00,15:50+03:00,320|1195,UMMS,WIII,19:27+03:00,10:50+07:00,340|536,WIII,SBBR,20:01+07:00,17:15-03:00,340
EKCH,SBBR,11:30+02:00,16:42-03:00,1,false|1128,EKCH,UMMS,11:30+02:00,15:50+03:00,320|1201,UMMS,RPLL,20:44+03:00,08:28+08:00,340|542,RPLL,SBBR,16:36+08:00,16:42-03:00,300
EKCH,SBBR,11:30+02:00,22:55-03:00,1,false|1128,EKCH,UMMS,11:30+02:00,15:50+03:00,320|1201,UMMS,RPLL,20:44+03:00,08:28+08:00,340|544,RPLL,SBBR,22:49+08:00,22:55-03:00,320
EKCH,SBBR,12:15+02:00,18:40-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|150,UMMS,SEQM,23:36+03:00,06:31-05:00,360|79,SEQM,SBBR,10:54-05:00,18:40-03:00,300
EKCH,SBBR,12:15+02:00,02:12-03:00,2,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|150,UMMS,SEQM,23:36+03:00,06:31-05:00,360|81,SEQM,SBBR,18:26-05:00,02:12-03:00,320
EKCH,SBBR,12:15+02:00,03:03-03:00,2,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|304,UMMS,SVMI,22:38+03:00,04:26-04:00,300|249,SVMI,SBBR,20:41-04:00,03:03-03:00,300
EKCH,SBBR,12:15+02:00,08:20-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|456,UMMS,SBBR,23:18+03:00,08:20-03:00,320
EKCH,SBBR,12:15+02:00,11:49-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|668,UMMS,SLLP,19:03+03:00,04:55-04:00,340|396,SLLP,SBBR,06:59-04:00,11:49-03:00,320
EKCH,SBBR,12:15+02:00,17:17-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|668,UMMS,SLLP,19:03+03:00,04:55-04:00,340|398,SLLP,SBBR,12:27-04:00,17:17-03:00,360
EKCH,SBBR,12:15+02:00,03:17-03:00,2,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|668,UMMS,SLLP,19:03+03:00,04:55-04:00,340|400,SLLP,SBBR,22:27-04:00,03:17-03:00,360
EKCH,SBBR,12:15+02:00,18:35-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|846,UMMS,SUAA,22:37+03:00,09:27-03:00,340|426,SUAA,SBBR,14:42-03:00,18:35-03:00,340
EKCH,SBBR,12:15+02:00,00:04-03:00,2,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|846,UMMS,SUAA,22:37+03:00,09:27-03:00,340|428,SUAA,SBBR,20:11-03:00,00:04-03:00,320
EKCH,SBBR,12:15+02:00,12:37-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1002,UMMS,EDDI,23:53+03:00,01:09+02:00,360|436,EDDI,SBBR,04:47+02:00,12:37-03:00,320
EKCH,SBBR,12:15+02:00,19:16-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1002,UMMS,EDDI,23:53+03:00,01:09+02:00,360|438,EDDI,SBBR,11:26+02:00,19:16-03:00,320
EKCH,SBBR,12:15+02:00,00:38-03:00,2,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1002,UMMS,EDDI,23:53+03:00,01:09+02:00,360|440,EDDI,SBBR,16:48+02:00,00:38-03:00,320
EKCH,SBBR,12:15+02:00,10:05-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1034,UMMS,LOWW,23:38+03:00,01:54+02:00,320|442,LOWW,SBBR,02:19+02:00,10:05-03:00,300
EKCH,SBBR,12:15+02:00,16:15-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1034,UMMS,LOWW,23:38+03:00,01:54+02:00,320|444,LOWW,SBBR,08:29+02:00,16:15-03:00,340
EKCH,SBBR,12:15+02:00,07:18-03:00,2,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1034,UMMS,LOWW,23:38+03:00,01:54+02:00,320|446,LOWW,SBBR,23:32+02:00,07:18-03:00,300
EKCH,SBBR,12:15+02:00,06:13-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1119,UMMS,LKPR,17:28+03:00,19:45+02:00,320|470,LKPR,SBBR,22:27+02:00,06:13-03:00,340
EKCH,SBBR,12:15+02:00,22:14-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1135,UMMS,EHAM,23:57+03:00,02:59+02:00,300|480,EHAM,SBBR,14:01+02:00,22:14-03:00,320
EKCH,SBBR,12:15+02:00,01:54-03:00,2,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1135,UMMS,EHAM,23:57+03:00,02:59+02:00,300|482,EHAM,SBBR,17:41+02:00,01:54-03:00,300
EKCH,SBBR,12:15+02:00,18:22-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1143,UMMS,VIDP,19:12+03:00,05:18+05:00,360|484,VIDP,SBBR,07:38+05:00,18:22-03:00,340
EKCH,SBBR,12:15+02:00,08:39-03:00,2,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1143,UMMS,VIDP,19:12+03:00,05:18+05:00,360|486,VIDP,SBBR,21:55+05:00,08:39-03:00,300
EKCH,SBBR,12:15+02:00,05:11-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1149,UMMS,RKSI,17:14+03:00,03:57+09:00,320|488,RKSI,SBBR,05:33+09:00,05:11-03:00,300
EKCH,SBBR,12:15+02:00,10:06-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1149,UMMS,RKSI,17:14+03:00,03:57+09:00,320|490,RKSI,SBBR,10:28+09:00,10:06-03:00,360
EKCH,SBBR,12:15+02:00,20:49-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1149,UMMS,RKSI,17:14+03:00,03:57+09:00,320|492,RKSI,SBBR,20:11+09:00,20:49-03:00,300
EKCH,SBBR,12:15+02:00,05:11-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1151,UMMS,RKSI,18:04+03:00,04:47+09:00,320|488,RKSI,SBBR,05:33+09:00,05:11-03:00,300
EKCH,SBBR,12:15+02:00,10:06-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1151,UMMS,RKSI,18:04+03:00,04:47+09:00,320|490,RKSI,SBBR,10:28+09:00,10:06-03:00,360
EKCH,SBBR,12:15+02:00,20:49-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1151,UMMS,RKSI,18:04+03:00,04:47+09:00,320|492,RKSI,SBBR,20:11+09:00,20:49-03:00,300
EKCH,SBBR,12:15+02:00,05:24-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1157,UMMS,VTBS,17:02+03:00,04:58+07:00,320|494,VTBS,SBBR,05:36+07:00,05:24-03:00,360
EKCH,SBBR,12:15+02:00,10:21-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1157,UMMS,VTBS,17:02+03:00,04:58+07:00,320|496,VTBS,SBBR,10:33+07:00,10:21-03:00,360
EKCH,SBBR,12:15+02:00,16:00-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1157,UMMS,VTBS,17:02+03:00,04:58+07:00,320|498,VTBS,SBBR,16:12+07:00,16:00-03:00,360
EKCH,SBBR,12:15+02:00,16:00-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1159,UMMS,VTBS,23:57+03:00,10:53+07:00,320|498,VTBS,SBBR,16:12+07:00,16:00-03:00,360
EKCH,SBBR,12:15+02:00,14:20-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1165,UMMS,OMDB,17:22+03:00,00:12+04:00,360|500,OMDB,SBBR,05:23+04:00,14:20-03:00,300
EKCH,SBBR,12:15+02:00,20:50-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1165,UMMS,OMDB,17:22+03:00,00:12+04:00,360|502,OMDB,SBBR,11:53+04:00,20:50-03:00,340
EKCH,SBBR,12:15+02:00,01:48-03:00,2,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1165,UMMS,OMDB,17:22+03:00,00:12+04:00,360|504,OMDB,SBBR,16:51+04:00,01:48-03:00,320
EKCH,SBBR,12:15+02:00,04:27-03:00,2,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1165,UMMS,OMDB,17:22+03:00,00:12+04:00,360|506,OMDB,SBBR,19:30+04:00,04:27-03:00,320
EKCH,SBBR,12:15+02:00,14:20-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1167,UMMS,OMDB,19:05+03:00,02:55+04:00,300|500,OMDB,SBBR,05:23+04:00,14:20-03:00,300
EKCH,SBBR,12:15+02:00,20:50-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1167,UMMS,OMDB,19:05+03:00,02:55+04:00,300|502,OMDB,SBBR,11:53+04:00,20:50-03:00,340
EKCH,SBBR,12:15+02:00,01:48-03:00,2,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1167,UMMS,OMDB,19:05+03:00,02:55+04:00,300|504,OMDB,SBBR,16:51+04:00,01:48-03:00,320
EKCH,SBBR,12:15+02:00,04:27-03:00,2,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1167,UMMS,OMDB,19:05+03:00,02:55+04:00,300|506,OMDB,SBBR,19:30+04:00,04:27-03:00,320
EKCH,SBBR,12:15+02:00,08:58-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1173,UMMS,ZBAA,16:56+03:00,01:22+08:00,340|508,ZBAA,SBBR,07:12+08:00,08:58-03:00,360
EKCH,SBBR,12:15+02:00,11:47-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1173,UMMS,ZBAA,16:56+03:00,01:22+08:00,340|510,ZBAA,SBBR,10:01+08:00,11:47-03:00,360
EKCH,SBBR,12:15+02:00,18:44-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1173,UMMS,ZBAA,16:56+03:00,01:22+08:00,340|512,ZBAA,SBBR,17:58+08:00,18:44-03:00,360
EKCH,SBBR,12:15+02:00,07:44-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1179,UMMS,RJTT,17:25+03:00,03:20+09:00,320|514,RJTT,SBBR,07:09+09:00,07:44-03:00,340
EKCH,SBBR,12:15+02:00,15:55-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1183,UMMS,WMKK,20:40+03:00,10:06+08:00,300|520,WMKK,SBBR,16:41+08:00,15:55-03:00,320
EKCH,SBBR,12:15+02:00,22:18-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1183,UMMS,WMKK,20:40+03:00,10:06+08:00,300|522,WMKK,SBBR,23:04+08:00,22:18-03:00,360
EKCH,SBBR,12:15+02:00,09:04-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1187,UMMS,WSSS,20:10+03:00,10:44+08:00,340|526,WSSS,SBBR,10:53+08:00,09:04-03:00,360
EKCH,SBBR,12:15+02:00,15:41-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1187,UMMS,WSSS,20:10+03:00,10:44+08:00,340|528,WSSS,SBBR,16:30+08:00,15:41-03:00,320
EKCH,SBBR,12:15+02:00,22:27-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1187,UMMS,WSSS,20:10+03:00,10:44+08:00,340|530,WSSS,SBBR,23:16+08:00,22:27-03:00,320
EKCH,SBBR,12:15+02:00,08:19-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1195,UMMS,WIII,19:27+03:00,10:50+07:00,340|534,WIII,SBBR,11:05+07:00,08:19-03:00,320
EKCH,SBBR,12:15+02:00,17:15-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1195,UMMS,WIII,19:27+03:00,10:50+07:00,340|536,WIII,SBBR,20:01+07:00,17:15-03:00,340
EKCH,SBBR,12:15+02:00,16:42-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1201,UMMS,RPLL,20:44+03:00,08:28+08:00,340|542,RPLL,SBBR,16:36+08:00,16:42-03:00,300
EKCH,SBBR,12:15+02:00,22:55-03:00,1,false|1130,EKCH,UMMS,12:15+02:00,16:35+03:00,320|1201,UMMS,RPLL,20:44+03:00,08:28+08:00,340|544,RPLL,SBBR,22:49+08:00,22:55-03:00,320
EKCH,SBBR,05:02+02:00,14:57-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|156,LBSF,SEQM,22:22+03:00,05:05-05:00,300|77,SEQM,SBBR,06:11-05:00,14:57-03:00,300
EKCH,SBBR,05:02+02:00,18:40-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|156,LBSF,SEQM,22:22+03:00,05:05-05:00,300|79,SEQM,SBBR,10:54-05:00,18:40-03:00,300
EKCH,SBBR,05:02+02:00,02:12-03:00,2,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|156,LBSF,SEQM,22:22+03:00,05:05-05:00,300|81,SEQM,SBBR,18:26-05:00,02:12-03:00,320
EKCH,SBBR,05:02+02:00,03:03-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|310,LBSF,SVMI,13:14+03:00,19:47-04:00,320|249,SVMI,SBBR,20:41-04:00,03:03-03:00,300
EKCH,SBBR,05:02+02:00,03:03-03:00,2,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|312,LBSF,SVMI,21:08+03:00,03:41-04:00,300|249,SVMI,SBBR,20:41-04:00,03:03-03:00,300
EKCH,SBBR,05:02+02:00,21:51-03:00,0,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|460,LBSF,SBBR,13:51+03:00,21:51-03:00,340
EKCH,SBBR,05:02+02:00,03:11-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|462,LBSF,SBBR,19:11+03:00,03:11-03:00,320
EKCH,SBBR,05:02+02:00,03:17-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|672,LBSF,SLLP,13:53+03:00,22:03-04:00,300|400,SLLP,SBBR,22:27-04:00,03:17-03:00,360
EKCH,SBBR,05:02+02:00,17:17-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|674,LBSF,SLLP,23:26+03:00,08:36-04:00,320|398,SLLP,SBBR,12:27-04:00,17:17-03:00,360
EKCH,SBBR,05:02+02:00,03:17-03:00,2,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|674,LBSF,SLLP,23:26+03:00,08:36-04:00,320|400,SLLP,SBBR,22:27-04:00,03:17-03:00,360
EKCH,SBBR,05:02+02:00,01:44-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|900,LBSF,LATI,13:14+03:00,14:40+02:00,360|434,LATI,SBBR,17:10+02:00,01:44-03:00,340
EKCH,SBBR,05:02+02:00,07:18-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1038,LBSF,LOWW,19:22+03:00,21:27+02:00,300|446,LOWW,SBBR,23:32+02:00,07:18-03:00,300
EKCH,SBBR,05:02+02:00,09:57-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1082,LBSF,EBCI,21:32+03:00,00:41+02:00,340|448,EBCI,SBBR,01:55+02:00,09:57-03:00,320
EKCH,SBBR,05:02+02:00,16:45-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1082,LBSF,EBCI,21:32+03:00,00:41+02:00,340|450,EBCI,SBBR,08:43+02:00,16:45-03:00,340
EKCH,SBBR,05:02+02:00,00:56-03:00,2,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1082,LBSF,EBCI,21:32+03:00,00:41+02:00,340|452,EBCI,SBBR,16:54+02:00,00:56-03:00,320
EKCH,SBBR,05:02+02:00,06:13-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1205,LBSF,LKPR,15:59+03:00,17:24+02:00,300|470,LKPR,SBBR,22:27+02:00,06:13-03:00,340
EKCH,SBBR,05:02+02:00,06:13-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1207,LBSF,LKPR,18:59+03:00,20:24+02:00,360|470,LKPR,SBBR,22:27+02:00,06:13-03:00,340
EKCH,SBBR,05:02+02:00,01:54-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1223,LBSF,EHAM,11:34+03:00,14:50+02:00,340|482,EHAM,SBBR,17:41+02:00,01:54-03:00,300
EKCH,SBBR,05:02+02:00,01:54-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1225,LBSF,EHAM,13:22+03:00,16:38+02:00,320|482,EHAM,SBBR,17:41+02:00,01:54-03:00,300
EKCH,SBBR,05:02+02:00,10:06-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1241,LBSF,RKSI,23:31+03:00,08:53+09:00,320|490,RKSI,SBBR,10:28+09:00,10:06-03:00,360
EKCH,SBBR,05:02+02:00,20:49-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1241,LBSF,RKSI,23:31+03:00,08:53+09:00,320|492,RKSI,SBBR,20:11+09:00,20:49-03:00,300
EKCH,SBBR,05:02+02:00,10:21-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1247,LBSF,VTBS,19:12+03:00,05:33+07:00,320|496,VTBS,SBBR,10:33+07:00,10:21-03:00,360
EKCH,SBBR,05:02+02:00,16:00-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1247,LBSF,VTBS,19:12+03:00,05:33+07:00,320|498,VTBS,SBBR,16:12+07:00,16:00-03:00,360
EKCH,SBBR,05:02+02:00,04:27-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1251,LBSF,OMDB,11:13+03:00,18:36+04:00,300|506,OMDB,SBBR,19:30+04:00,04:27-03:00,320
EKCH,SBBR,05:02+02:00,08:58-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1259,LBSF,ZBAA,16:50+03:00,00:07+08:00,340|508,ZBAA,SBBR,07:12+08:00,08:58-03:00,360
EKCH,SBBR,05:02+02:00,11:47-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1259,LBSF,ZBAA,16:50+03:00,00:07+08:00,340|510,ZBAA,SBBR,10:01+08:00,11:47-03:00,360
EKCH,SBBR,05:02+02:00,18:44-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1259,LBSF,ZBAA,16:50+03:00,00:07+08:00,340|512,ZBAA,SBBR,17:58+08:00,18:44-03:00,360
EKCH,SBBR,05:02+02:00,07:44-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1265,LBSF,RJTT,16:27+03:00,01:55+09:00,360|514,RJTT,SBBR,07:09+09:00,07:44-03:00,340
EKCH,SBBR,05:02+02:00,07:44-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1267,LBSF,RJTT,18:53+03:00,03:21+09:00,320|514,RJTT,SBBR,07:09+09:00,07:44-03:00,340
EKCH,SBBR,05:02+02:00,03:14-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1273,LBSF,WMKK,13:27+03:00,01:16+08:00,320|516,WMKK,SBBR,04:00+08:00,03:14-03:00,320
EKCH,SBBR,05:02+02:00,06:05-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1273,LBSF,WMKK,13:27+03:00,01:16+08:00,320|518,WMKK,SBBR,07:51+08:00,06:05-03:00,360
EKCH,SBBR,05:02+02:00,15:55-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1273,LBSF,WMKK,13:27+03:00,01:16+08:00,320|520,WMKK,SBBR,16:41+08:00,15:55-03:00,320
EKCH,SBBR,05:02+02:00,22:18-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1273,LBSF,WMKK,13:27+03:00,01:16+08:00,320|522,WMKK,SBBR,23:04+08:00,22:18-03:00,360
EKCH,SBBR,05:02+02:00,06:05-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1275,LBSF,WMKK,19:44+03:00,07:33+08:00,340|518,WMKK,SBBR,07:51+08:00,06:05-03:00,360
EKCH,SBBR,05:02+02:00,15:55-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1275,LBSF,WMKK,19:44+03:00,07:33+08:00,340|520,WMKK,SBBR,16:41+08:00,15:55-03:00,320
EKCH,SBBR,05:02+02:00,22:18-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1275,LBSF,WMKK,19:44+03:00,07:33+08:00,340|522,WMKK,SBBR,23:04+08:00,22:18-03:00,360
EKCH,SBBR,05:02+02:00,09:04-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1279,LBSF,WSSS,14:46+03:00,02:43+08:00,320|526,WSSS,SBBR,10:53+08:00,09:04-03:00,360
EKCH,SBBR,05:02+02:00,15:41-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1279,LBSF,WSSS,14:46+03:00,02:43+08:00,320|528,WSSS,SBBR,16:30+08:00,15:41-03:00,320
EKCH,SBBR,05:02+02:00,22:27-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1279,LBSF,WSSS,14:46+03:00,02:43+08:00,320|530,WSSS,SBBR,23:16+08:00,22:27-03:00,320
EKCH,SBBR,05:02+02:00,03:07-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1283,LBSF,WIII,11:40+03:00,00:35+07:00,340|532,WIII,SBBR,06:53+07:00,03:07-03:00,360
EKCH,SBBR,05:02+02:00,08:19-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1283,LBSF,WIII,11:40+03:00,00:35+07:00,340|534,WIII,SBBR,11:05+07:00,08:19-03:00,320
EKCH,SBBR,05:02+02:00,17:15-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1283,LBSF,WIII,11:40+03:00,00:35+07:00,340|536,WIII,SBBR,20:01+07:00,17:15-03:00,340
EKCH,SBBR,05:02+02:00,03:07-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1285,LBSF,WIII,17:51+03:00,06:46+07:00,320|532,WIII,SBBR,06:53+07:00,03:07-03:00,360
EKCH,SBBR,05:02+02:00,08:19-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1285,LBSF,WIII,17:51+03:00,06:46+07:00,320|534,WIII,SBBR,11:05+07:00,08:19-03:00,320
EKCH,SBBR,05:02+02:00,17:15-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1285,LBSF,WIII,17:51+03:00,06:46+07:00,320|536,WIII,SBBR,20:01+07:00,17:15-03:00,340
EKCH,SBBR,05:02+02:00,02:35-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1289,LBSF,RPLL,13:57+03:00,00:05+08:00,360|538,RPLL,SBBR,02:29+08:00,02:35-03:00,320
EKCH,SBBR,05:02+02:00,07:52-03:00,1,false|1218,EKCH,LBSF,05:02+02:00,10:06+03:00,300|1289,LBSF,RPLL,13:57+03:00,00:05+08:00,360|540,RPLL,SBBR,07:46+08:00,07:52-03:00,300
