LKPR,SKBO,05:04+02:00,21:42-05:00,0,false|LKPR,SEQM,05:04+02:00,12:50-05:00,340|SEQM,SKBO,19:55-05:00,21:42-05:00,360
LKPR,SVMI,01:55+02:00,04:44-04:00,1,false|LKPR,EHAM,01:55+02:00,03:50+02:00,320|EHAM,SVMI,23:58+02:00,04:44-04:00,340
LKPR,SVMI,01:55+02:00,11:36-04:00,1,false|LKPR,EHAM,01:55+02:00,03:50+02:00,320|EHAM,SBBR,17:41+02:00,01:54-03:00,300|SBBR,SVMI,06:14-03:00,11:36-04:00,340
LKPR,SVMI,01:55+02:00,22:27-04:00,1,false|LKPR,EHAM,01:55+02:00,03:50+02:00,320|EHAM,SLLP,23:15+02:00,07:07-04:00,320|SLLP,SVMI,17:49-04:00,22:27-04:00,300
LKPR,SVMI,01:55+02:00,05:57-04:00,1,false|LKPR,EHAM,01:55+02:00,03:50+02:00,320|EHAM,SUAA,07:01+02:00,18:06-03:00,340|SUAA,SVMI,22:40-03:00,05:57-04:00,340
LKPR,SVMI,01:55+02:00,21:30-04:00,0,false|LKPR,EHAM,01:55+02:00,03:50+02:00,320|EHAM,LATI,08:11+02:00,12:17+02:00,320|LATI,SVMI,14:21+02:00,21:30-04:00,300
LKPR,SVMI,01:55+02:00,01:09-04:00,1,false|LKPR,EHAM,01:55+02:00,03:50+02:00,320|EHAM,LATI,08:11+02:00,12:17+02:00,320|LATI,SVMI,18:00+02:00,01:09-04:00,360
LKPR,SVMI,01:55+02:00,01:09-04:00,1,false|LKPR,EHAM,01:55+02:00,03:50+02:00,320|EHAM,LATI,12:00+02:00,16:06+02:00,360|LATI,SVMI,18:00+02:00,01:09-04:00,360
LKPR,SVMI,01:55+02:00,21:30-04:00,1,false|LKPR,EHAM,01:55+02:00,03:50+02:00,320|EHAM,LATI,21:18+02:00,01:24+02:00,300|LATI,SVMI,14:21+02:00,21:30-04:00,300
LKPR,SVMI,01:55+02:00,01:09-04:00,2,false|LKPR,EHAM,01:55+02:00,03:50+02:00,320|EHAM,LATI,21:18+02:00,01:24+02:00,300|LATI,SVMI,18:00+02:00,01:09-04:00,360
LKPR,SVMI,01:55+02:00,20:58-04:00,0,false|LKPR,EHAM,01:55+02:00,03:50+02:00,320|EHAM,EBCI,08:44+02:00,10:00+02:00,320|EBCI,SVMI,15:15+02:00,20:58-04:00,340
LKPR,SVMI,01:55+02:00,14:41-04:00,1,false|LKPR,EHAM,01:55+02:00,03:50+02:00,320|EHAM,EBCI,22:06+02:00,00:22+02:00,340|EBCI,SVMI,09:58+02:00,14:41-04:00,360
LKPR,SVMI,01:55+02:00,20:58-04:00,1,false|LKPR,EHAM,01:55+02:00,03:50+02:00,320|EHAM,EBCI,22:06+02:00,00:22+02:00,340|EBCI,SVMI,15:15+02:00,20:58-04:00,340
LKPR,SVMI,01:55+02:00,04:26-04:00,1,false|LKPR,EHAM,01:55+02:00,03:50+02:00,320|EHAM,UMMS,15:08+02:00,20:10+03:00,300|UMMS,SVMI,22:38+03:00,04:26-04:00,300
LKPR,SVMI,01:55+02:00,03:41-04:00,1,false|LKPR,EHAM,01:55+02:00,03:50+02:00,320|EHAM,LBSF,11:19+02:00,16:35+03:00,320|LBSF,SVMI,21:08+03:00,03:41-04:00,300
LKPR,SVMI,01:55+02:00,03:41-04:00,1,false|LKPR,EHAM,01:55+02:00,03:50+02:00,320|EHAM,LBSF,13:16+02:00,18:32+03:00,300|LBSF,SVMI,21:08+03:00,03:41-04:00,300
LKPR,SVMI,01:55+02:00,03:33-04:00,1,false|LKPR,EHAM,01:55+02:00,03:50+02:00,320|EHAM,LDZA,08:12+02:00,11:40+02:00,320|LDZA,SVMI,21:45+02:00,03:33-04:00,360
LKPR,SVMI,01:55+02:00,00:22-04:00,1,false|LKPR,EHAM,01:55+02:00,03:50+02:00,320|EHAM,EKCH,08:25+02:00,10:12+02:00,340|EKCH,SVMI,18:53+02:00,00:22-04:00,300
LKPR,SVMI,01:55+02:00,00:22-04:00,1,false|LKPR,EHAM,01:55+02:00,03:50+02:00,320|EHAM,EKCH,15:00+02:00,17:47+02:00,300|EKCH,SVMI,18:53+02:00,00:22-04:00,300
LKPR,SVMI,07:36+02:00,03:08-04:00,1,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,SEQM,13:36+02:00,19:30-05:00,320|SEQM,SVMI,22:58-05:00,03:08-04:00,360
LKPR,SVMI,07:36+02:00,14:39-04:00,1,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,SEQM,21:05+02:00,03:59-05:00,300|SEQM,SVMI,09:29-05:00,14:39-04:00,320
LKPR,SVMI,07:36+02:00,03:08-04:00,2,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,SEQM,21:05+02:00,03:59-05:00,300|SEQM,SVMI,22:58-05:00,03:08-04:00,360
LKPR,SVMI,07:36+02:00,19:48-04:00,0,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,SVMI,14:02+02:00,19:48-04:00,360
LKPR,SVMI,07:36+02:00,04:44-04:00,1,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,SVMI,23:58+02:00,04:44-04:00,340
LKPR,SVMI,07:36+02:00,11:36-04:00,1,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,SBBR,17:41+02:00,01:54-03:00,300|SBBR,SVMI,06:14-03:00,11:36-04:00,340
LKPR,SVMI,07:36+02:00,22:27-04:00,1,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,SLLP,23:15+02:00,07:07-04:00,320|SLLP,SVMI,17:49-04:00,22:27-04:00,300
LKPR,SVMI,07:36+02:00,01:09-04:00,1,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,LATI,12:00+02:00,16:06+02:00,360|LATI,SVMI,18:00+02:00,01:09-04:00,360
LKPR,SVMI,07:36+02:00,21:30-04:00,1,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,LATI,21:18+02:00,01:24+02:00,300|LATI,SVMI,14:21+02:00,21:30-04:00,300
LKPR,SVMI,07:36+02:00,01:09-04:00,2,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,LATI,21:18+02:00,01:24+02:00,300|LATI,SVMI,18:00+02:00,01:09-04:00,360
LKPR,SVMI,07:36+02:00,10:49-04:00,1,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,LOWW,22:53+02:00,01:05+02:00,320|LOWW,SVMI,04:01+02:00,10:49-04:00,320
LKPR,SVMI,07:36+02:00,14:41-04:00,1,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,EBCI,22:06+02:00,00:22+02:00,340|EBCI,SVMI,09:58+02:00,14:41-04:00,360
LKPR,SVMI,07:36+02:00,20:58-04:00,1,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,EBCI,22:06+02:00,00:22+02:00,340|EBCI,SVMI,15:15+02:00,20:58-04:00,340
LKPR,SVMI,07:36+02:00,04:26-04:00,1,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,UMMS,15:08+02:00,20:10+03:00,300|UMMS,SVMI,22:38+03:00,04:26-04:00,300
LKPR,SVMI,07:36+02:00,08:22-04:00,1,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,UMMS,19:54+02:00,00:56+03:00,320|UMMS,SVMI,02:34+03:00,08:22-04:00,340
LKPR,SVMI,07:36+02:00,18:43-04:00,1,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,UMMS,19:54+02:00,00:56+03:00,320|UMMS,SVMI,12:55+03:00,18:43-04:00,320
LKPR,SVMI,07:36+02:00,04:26-04:00,2,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,UMMS,19:54+02:00,00:56+03:00,320|UMMS,SVMI,22:38+03:00,04:26-04:00,300
LKPR,SVMI,07:36+02:00,03:41-04:00,1,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,LBSF,11:19+02:00,16:35+03:00,320|LBSF,SVMI,21:08+03:00,03:41-04:00,300
LKPR,SVMI,07:36+02:00,03:41-04:00,1,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,LBSF,13:16+02:00,18:32+03:00,300|LBSF,SVMI,21:08+03:00,03:41-04:00,300
LKPR,SVMI,07:36+02:00,10:08-04:00,1,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,SVMI,04:20+02:00,10:08-04:00,320
LKPR,SVMI,07:36+02:00,14:17-04:00,1,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,SVMI,08:29+02:00,14:17-04:00,340
LKPR,SVMI,07:36+02:00,03:33-04:00,2,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,SVMI,21:45+02:00,03:33-04:00,360
LKPR,SVMI,07:36+02:00,00:22-04:00,1,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,EKCH,15:00+02:00,17:47+02:00,300|EKCH,SVMI,18:53+02:00,00:22-04:00,300
LKPR,SVMI,07:36+02:00,12:51-04:00,1,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,EKCH,22:22+02:00,00:09+02:00,300|EKCH,SVMI,06:22+02:00,12:51-04:00,360
LKPR,SVMI,07:36+02:00,14:19-04:00,1,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,EKCH,22:22+02:00,00:09+02:00,300|EKCH,SVMI,08:50+02:00,14:19-04:00,320
LKPR,SVMI,07:36+02:00,00:22-04:00,2,false|LKPR,EHAM,07:36+02:00,09:31+02:00,340|EHAM,EKCH,22:22+02:00,00:09+02:00,300|EKCH,SVMI,18:53+02:00,00:22-04:00,300
LKPR,SVMI,16:44+02:00,14:39-04:00,1,false|LKPR,EHAM,16:44+02:00,18:39+02:00,340|EHAM,SEQM,21:05+02:00,03:59-05:00,300|SEQM,SVMI,09:29-05:00,14:39-04:00,320
LKPR,SVMI,16:44+02:00,03:08-04:00,2,false|LKPR,EHAM,16:44+02:00,18:39+02:00,340|EHAM,SEQM,21:05+02:00,03:59-05:00,300|SEQM,SVMI,22:58-05:00,03:08-04:00,360
LKPR,SVMI,16:44+02:00,04:44-04:00,1,false|LKPR,EHAM,16:44+02:00,18:39+02:00,340|EHAM,SVMI,23:58+02:00,04:44-04:00,340
LKPR,SVMI,16:44+02:00,22:27-04:00,1,false|LKPR,EHAM,16:44+02:00,18:39+02:00,340|EHAM,SLLP,23:15+02:00,07:07-04:00,320|SLLP,SVMI,17:49-04:00,22:27-04:00,300
LKPR,SVMI,16:44+02:00,21:30-04:00,1,false|LKPR,EHAM,16:44+02:00,18:39+02:00,340|EHAM,LATI,21:18+02:00,01:24+02:00,300|LATI,SVMI,14:21+02:00,21:30-04:00,300
LKPR,SVMI,16:44+02:00,01:09-04:00,2,false|LKPR,EHAM,16:44+02:00,18:39+02:00,340|EHAM,LATI,21:18+02:00,01:24+02:00,300|LATI,SVMI,18:00+02:00,01:09-04:00,360
LKPR,SVMI,16:44+02:00,10:49-04:00,1,false|LKPR,EHAM,16:44+02:00,18:39+02:00,340|EHAM,LOWW,22:53+02:00,01:05+02:00,320|LOWW,SVMI,04:01+02:00,10:49-04:00,320
LKPR,SVMI,16:44+02:00,14:41-04:00,1,false|LKPR,EHAM,16:44+02:00,18:39+02:00,340|EHAM,EBCI,22:06+02:00,00:22+02:00,340|EBCI,SVMI,09:58+02:00,14:41-04:00,360
LKPR,SVMI,16:44+02:00,20:58-04:00,1,false|LKPR,EHAM,16:44+02:00,18:39+02:00,340|EHAM,EBCI,22:06+02:00,00:22+02:00,340|EBCI,SVMI,15:15+02:00,20:58-04:00,340
LKPR,SVMI,16:44+02:00,08:22-04:00,1,false|LKPR,EHAM,16:44+02:00,18:39+02:00,340|EHAM,UMMS,19:54+02:00,00:56+03:00,320|UMMS,SVMI,02:34+03:00,08:22-04:00,340
LKPR,SVMI,16:44+02:00,18:43-04:00,1,false|LKPR,EHAM,16:44+02:00,18:39+02:00,340|EHAM,UMMS,19:54+02:00,00:56+03:00,320|UMMS,SVMI,12:55+03:00,18:43-04:00,320
LKPR,SVMI,16:44+02:00,04:26-04:00,2,false|LKPR,EHAM,16:44+02:00,18:39+02:00,340|EHAM,UMMS,19:54+02:00,00:56+03:00,320|UMMS,SVMI,22:38+03:00,04:26-04:00,300
LKPR,SVMI,16:44+02:00,10:08-04:00,1,false|LKPR,EHAM,16:44+02:00,18:39+02:00,340|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,SVMI,04:20+02:00,10:08-04:00,320
LKPR,SVMI,16:44+02:00,14:17-04:00,1,false|LKPR,EHAM,16:44+02:00,18:39+02:00,340|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,SVMI,08:29+02:00,14:17-04:00,340
LKPR,SVMI,16:44+02:00,03:33-04:00,2,false|LKPR,EHAM,16:44+02:00,18:39+02:00,340|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,SVMI,21:45+02:00,03:33-04:00,360
LKPR,SVMI,16:44+02:00,12:51-04:00,1,false|LKPR,EHAM,16:44+02:00,18:39+02:00,340|EHAM,EKCH,22:22+02:00,00:09+02:00,300|EKCH,SVMI,06:22+02:00,12:51-04:00,360
LKPR,SVMI,16:44+02:00,14:19-04:00,1,false|LKPR,EHAM,16:44+02:00,18:39+02:00,340|EHAM,EKCH,22:22+02:00,00:09+02:00,300|EKCH,SVMI,08:50+02:00,14:19-04:00,320
LKPR,SVMI,16:44+02:00,00:22-04:00,2,false|LKPR,EHAM,16:44+02:00,18:39+02:00,340|EHAM,EKCH,22:22+02:00,00:09+02:00,300|EKCH,SVMI,18:53+02:00,00:22-04:00,300
LKPR,SVMI,20:16+02:00,04:44-04:00,1,false|LKPR,EHAM,20:16+02:00,22:11+02:00,340|EHAM,SVMI,23:58+02:00,04:44-04:00,340
LKPR,SVMI,20:16+02:00,22:27-04:00,1,false|LKPR,EHAM,20:16+02:00,22:11+02:00,340|EHAM,SLLP,23:15+02:00,07:07-04:00,320|SLLP,SVMI,17:49-04:00,22:27-04:00,300
LKPR,SVMI,20:16+02:00,10:49-04:00,1,false|LKPR,EHAM,20:16+02:00,22:11+02:00,340|EHAM,LOWW,22:53+02:00,01:05+02:00,320|LOWW,SVMI,04:01+02:00,10:49-04:00,320
LKPR,SVMI,20:16+02:00,10:08-04:00,1,false|LKPR,EHAM,20:16+02:00,22:11+02:00,340|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,SVMI,04:20+02:00,10:08-04:00,320
LKPR,SVMI,20:16+02:00,14:17-04:00,1,false|LKPR,EHAM,20:16+02:00,22:11+02:00,340|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,SVMI,08:29+02:00,14:17-04:00,340
LKPR,SVMI,20:16+02:00,03:33-04:00,2,false|LKPR,EHAM,20:16+02:00,22:11+02:00,340|EHAM,LDZA,23:56+02:00,02:24+02:00,340|LDZA,SVMI,21:45+02:00,03:33-04:00,360
LKPR,SVMI,20:16+02:00,12:51-04:00,1,false|LKPR,EHAM,20:16+02:00,22:11+02:00,340|EHAM,EKCH,22:22+02:00,00:09+02:00,300|EKCH,SVMI,06:22+02:00,12:51-04:00,360
LKPR,SVMI,20:16+02:00,14:19-04:00,1,false|LKPR,EHAM,20:16+02:00,22:11+02:00,340|EHAM,EKCH,22:22+02:00,00:09+02:00,300|EKCH,SVMI,08:50+02:00,14:19-04:00,320
LKPR,SVMI,20:16+02:00,00:22-04:00,2,false|LKPR,EHAM,20:16+02:00,22:11+02:00,340|EHAM,EKCH,22:22+02:00,00:09+02:00,300|EKCH,SVMI,18:53+02:00,00:22-04:00,300
LKPR,SVMI,01:20+02:00,14:39-04:00,1,false|LKPR,VIDP,01:20+02:00,13:35+05:00,320|VIDP,SEQM,13:47+05:00,01:48-05:00,360|SEQM,SVMI,09:29-05:00,14:39-04:00,320
LKPR,SVMI,01:20+02:00,14:39-04:00,1,false|LKPR,VIDP,01:20+02:00,13:35+05:00,320|VIDP,SEQM,20:54+05:00,08:55-05:00,320|SEQM,SVMI,09:29-05:00,14:39-04:00,320
LKPR,SVMI,01:20+02:00,04:19-04:00,1,false|LKPR,VIDP,01:20+02:00,13:35+05:00,320|VIDP,SVMI,18:27+05:00,04:19-04:00,340
LKPR,SVMI,01:20+02:00,15:50-04:00,1,false|LKPR,VIDP,01:20+02:00,13:35+05:00,320|VIDP,SUAA,16:52+05:00,05:24-03:00,320|SUAA,SVMI,08:33-03:00,15:50-04:00,360
LKPR,SVMI,01:20+02:00,19:45-04:00,1,false|LKPR,VIDP,01:20+02:00,13:35+05:00,320|VIDP,SUAA,16:52+05:00,05:24-03:00,320|SUAA,SVMI,12:28-03:00,19:45-04:00,320
LKPR,SVMI,01:20+02:00,12:53-04:00,1,false|LKPR,VIDP,01:20+02:00,13:35+05:00,320|VIDP,RKSI,23:44+05:00,12:21+09:00,340|RKSI,SVMI,13:28+09:00,12:53-04:00,300
LKPR,SVMI,01:20+02:00,22:23-04:00,1,false|LKPR,VIDP,01:20+02:00,13:35+05:00,320|VIDP,RKSI,23:44+05:00,12:21+09:00,340|RKSI,SVMI,23:58+09:00,22:23-04:00,300
LKPR,SVMI,01:20+02:00,15:09-04:00,1,false|LKPR,VIDP,01:20+02:00,13:35+05:00,320|VIDP,VTBS,16:02+05:00,04:57+07:00,320|VTBS,SVMI,14:46+07:00,15:09-04:00,340
LKPR,SVMI,01:20+02:00,23:26-04:00,1,false|LKPR,VIDP,01:20+02:00,13:35+05:00,320|VIDP,VTBS,16:02+05:00,04:57+07:00,320|VTBS,SVMI,22:03+07:00,23:26-04:00,360
LKPR,SVMI,01:20+02:00,07:36-04:00,1,false|LKPR,VIDP,01:20+02:00,13:35+05:00,320|VIDP,ZBAA,15:12+05:00,03:51+08:00,300|ZBAA,SVMI,07:18+08:00,07:36-04:00,300
LKPR,SVMI,01:20+02:00,13:47-04:00,1,false|LKPR,VIDP,01:20+02:00,13:35+05:00,320|VIDP,ZBAA,15:12+05:00,03:51+08:00,300|ZBAA,SVMI,13:29+08:00,13:47-04:00,320
LKPR,SVMI,01:20+02:00,23:01-04:00,1,false|LKPR,VIDP,01:20+02:00,13:35+05:00,320|VIDP,ZBAA,15:12+05:00,03:51+08:00,300|ZBAA,SVMI,23:43+08:00,23:01-04:00,340
LKPR,SVMI,01:20+02:00,13:47-04:00,1,false|LKPR,VIDP,01:20+02:00,13:35+05:00,320|VIDP,ZBAA,22:36+05:00,10:15+08:00,360|ZBAA,SVMI,13:29+08:00,13:47-04:00,320
LKPR,SVMI,01:20+02:00,23:01-04:00,1,false|LKPR,VIDP,01:20+02:00,13:35+05:00,320|VIDP,ZBAA,22:36+05:00,10:15+08:00,360|ZBAA,SVMI,23:43+08:00,23:01-04:00,340
LKPR,SVMI,10:01+02:00,21:30-04:00,1,false|LKPR,VIDP,10:01+02:00,22:16+05:00,340|VIDP,LATI,22:32+05:00,03:20+02:00,340|LATI,SVMI,14:21+02:00,21:30-04:00,300
LKPR,SVMI,10:01+02:00,01:09-04:00,2,false|LKPR,VIDP,10:01+02:00,22:16+05:00,340|VIDP,LATI,22:32+05:00,03:20+02:00,340|LATI,SVMI,18:00+02:00,01:09-04:00,360
LKPR,SVMI,10:01+02:00,18:43-04:00,1,false|LKPR,VIDP,10:01+02:00,22:16+05:00,340|VIDP,UMMS,23:44+05:00,05:50+03:00,320|UMMS,SVMI,12:55+03:00,18:43-04:00,320
LKPR,SVMI,10:01+02:00,04:26-04:00,2,false|LKPR,VIDP,10:01+02:00,22:16+05:00,340|VIDP,UMMS,23:44+05:00,05:50+03:00,320|UMMS,SVMI,22:38+03:00,04:26-04:00,300
LKPR,SVMI,10:01+02:00,12:51-04:00,1,false|LKPR,VIDP,10:01+02:00,22:16+05:00,340|VIDP,EKCH,23:59+05:00,05:25+02:00,340|EKCH,SVMI,06:22+02:00,12:51-04:00,360
LKPR,SVMI,10:01+02:00,14:19-04:00,1,false|LKPR,VIDP,10:01+02:00,22:16+05:00,340|VIDP,EKCH,23:59+05:00,05:25+02:00,340|EKCH,SVMI,08:50+02:00,14:19-04:00,320
LKPR,SVMI,10:01+02:00,00:22-04:00,2,false|LKPR,VIDP,10:01+02:00,22:16+05:00,340|VIDP,EKCH,23:59+05:00,05:25+02:00,340|EKCH,SVMI,18:53+02:00,00:22-04:00,300
LKPR,SVMI,10:01+02:00,12:53-04:00,1,false|LKPR,VIDP,10:01+02:00,22:16+05:00,340|VIDP,RKSI,23:44+05:00,12:21+09:00,340|RKSI,SVMI,13:28+09:00,12:53-04:00,300
LKPR,SVMI,10:01+02:00,22:23-04:00,1,false|LKPR,VIDP,10:01+02:00,22:16+05:00,340|VIDP,RKSI,23:44+05:00,12:21+09:00,340|RKSI,SVMI,23:58+09:00,22:23-04:00,300
LKPR,SVMI,10:01+02:00,13:47-04:00,1,false|LKPR,VIDP,10:01+02:00,22:16+05:00,340|VIDP,ZBAA,22:36+05:00,10:15+08:00,360|ZBAA,SVMI,13:29+08:00,13:47-04:00,320
LKPR,SVMI,10:01+02:00,23:01-04:00,1,false|LKPR,VIDP,10:01+02:00,22:16+05:00,340|VIDP,ZBAA,22:36+05:00,10:15+08:00,360|ZBAA,SVMI,23:43+08:00,23:01-04:00,340
LKPR,SVMI,17:01+02:00,16:08-04:00,1,false|LKPR,VIDP,17:01+02:00,05:16+05:00,340|VIDP,SVMI,06:16+05:00,16:08-04:00,320
LKPR,SVMI,17:01+02:00,20:24-04:00,1,false|LKPR,VIDP,17:01+02:00,05:16+05:00,340|VIDP,SVMI,10:32+05:00,20:24-04:00,320
LKPR,SVMI,17:01+02:00,04:19-04:00,2,false|LKPR,VIDP,17:01+02:00,05:16+05:00,340|VIDP,SVMI,18:27+05:00,04:19-04:00,340
LKPR,SVMI,17:01+02:00,01:09-04:00,2,false|LKPR,VIDP,17:01+02:00,05:16+05:00,340|VIDP,LATI,11:39+05:00,16:27+02:00,300|LATI,SVMI,18:00+02:00,01:09-04:00,360
LKPR,SVMI,17:01+02:00,04:26-04:00,2,false|LKPR,VIDP,17:01+02:00,05:16+05:00,340|VIDP,UMMS,07:53+05:00,13:59+03:00,300|UMMS,SVMI,22:38+03:00,04:26-04:00,300
LKPR,SVMI,17:01+02:00,03:41-04:00,2,false|LKPR,VIDP,17:01+02:00,05:16+05:00,340|VIDP,LBSF,07:52+05:00,13:14+03:00,340|LBSF,SVMI,21:08+03:00,03:41-04:00,300
LKPR,SVMI,17:01+02:00,03:33-04:00,2,false|LKPR,VIDP,17:01+02:00,05:16+05:00,340|VIDP,LDZA,05:46+05:00,11:50+02:00,360|LDZA,SVMI,21:45+02:00,03:33-04:00,360
LKPR,SVMI,17:01+02:00,03:33-04:00,2,false|LKPR,VIDP,17:01+02:00,05:16+05:00,340|VIDP,LDZA,12:30+05:00,18:34+02:00,360|LDZA,SVMI,21:45+02:00,03:33-04:00,360
LKPR,SVMI,17:01+02:00,00:22-04:00,2,false|LKPR,VIDP,17:01+02:00,05:16+05:00,340|VIDP,EKCH,06:03+05:00,12:29+02:00,300|EKCH,SVMI,18:53+02:00,00:22-04:00,300
LKPR,SVMI,17:01+02:00,22:23-04:00,1,false|LKPR,VIDP,17:01+02:00,05:16+05:00,340|VIDP,RKSI,08:27+05:00,21:04+09:00,360|RKSI,SVMI,23:58+09:00,22:23-04:00,300
LKPR,SVMI,17:01+02:00,23:26-04:00,1,false|LKPR,VIDP,17:01+02:00,05:16+05:00,340|VIDP,VTBS,08:42+05:00,20:37+07:00,360|VTBS,SVMI,22:03+07:00,23:26-04:00,360
LKPR,SVMI,17:01+02:00,03:47-04:00,2,false|LKPR,VIDP,17:01+02:00,05:16+05:00,340|VIDP,OMDB,07:16+05:00,10:02+04:00,360|OMDB,SVMI,18:01+04:00,03:47-04:00,320
LKPR,SVMI,17:01+02:00,23:01-04:00,1,false|LKPR,VIDP,17:01+02:00,05:16+05:00,340|VIDP,ZBAA,08:35+05:00,20:14+08:00,360|ZBAA,SVMI,23:43+08:00,23:01-04:00,340
LKPR,SVMI,20:03+02:00,20:24-04:00,1,false|LKPR,VIDP,20:03+02:00,08:18+05:00,300|VIDP,SVMI,10:32+05:00,20:24-04:00,320
LKPR,SVMI,20:03+02:00,04:19-04:00,2,false|LKPR,VIDP,20:03+02:00,08:18+05:00,300|VIDP,SVMI,18:27+05:00,04:19-04:00,340
LKPR,SVMI,20:03+02:00,01:09-04:00,2,false|LKPR,VIDP,20:03+02:00,08:18+05:00,300|VIDP,LATI,11:39+05:00,16:27+02:00,300|LATI,SVMI,18:00+02:00,01:09-04:00,360
LKPR,SVMI,20:03+02:00,03:33-04:00,2,false|LKPR,VIDP,20:03+02:00,08:18+05:00,300|VIDP,LDZA,12:30+05:00,18:34+02:00,360|LDZA,SVMI,21:45+02:00,03:33-04:00,360
LKPR,SVMI,20:03+02:00,22:23-04:00,1,false|LKPR,VIDP,20:03+02:00,08:18+05:00,300|VIDP,RKSI,08:27+05:00,21:04+09:00,360|RKSI,SVMI,23:58+09:00,22:23-04:00,300
LKPR,SVMI,20:03+02:00,23:26-04:00,1,false|LKPR,VIDP,20:03+02:00,08:18+05:00,300|VIDP,VTBS,08:42+05:00,20:37+07:00,360|VTBS,SVMI,22:03+07:00,23:26-04:00,360
LKPR,SVMI,20:03+02:00,15:09-04:00,2,false|LKPR,VIDP,20:03+02:00,08:18+05:00,300|VIDP,VTBS,16:02+05:00,04:57+07:00,320|VTBS,SVMI,14:46+07:00,15:09-04:00,340
LKPR,SVMI,20:03+02:00,23:01-04:00,1,false|LKPR,VIDP,20:03+02:00,08:18+05:00,300|VIDP,ZBAA,08:35+05:00,20:14+08:00,360|ZBAA,SVMI,23:43+08:00,23:01-04:00,340
LKPR,SVMI,20:03+02:00,07:36-04:00,2,false|LKPR,VIDP,20:03+02:00,08:18+05:00,300|VIDP,ZBAA,15:12+05:00,03:51+08:00,300|ZBAA,SVMI,07:18+08:00,07:36-04:00,300
LKPR,SVMI,20:03+02:00,13:47-04:00,2,false|LKPR,VIDP,20:03+02:00,08:18+05:00,300|VIDP,ZBAA,15:12+05:00,03:51+08:00,300|ZBAA,SVMI,13:29+08:00,13:47-04:00,320
LKPR,SVMI,20:03+02:00,13:47-04:00,2,false|LKPR,VIDP,20:03+02:00,08:18+05:00,300|VIDP,ZBAA,22:36+05:00,10:15+08:00,360|ZBAA,SVMI,13:29+08:00,13:47-04:00,320
LKPR,SVMI,01:25+02:00,03:08-04:00,1,false|LKPR,RKSI,01:25+02:00,11:14+09:00,340|RKSI,SEQM,17:14+09:00,17:49-05:00,320|SEQM,SVMI,22:58-05:00,03:08-04:00,360
LKPR,SVMI,01:25+02:00,03:08-04:00,1,false|LKPR,RKSI,01:25+02:00,11:14+09:00,340|RKSI,SEQM,20:48+09:00,20:23-05:00,300|SEQM,SVMI,22:58-05:00,03:08-04:00,360
LKPR,SVMI,01:25+02:00,12:53-04:00,0,false|LKPR,RKSI,01:25+02:00,11:14+09:00,340|RKSI,SVMI,13:28+09:00,12:53-04:00,300
LKPR,SVMI,01:25+02:00,22:23-04:00,0,false|LKPR,RKSI,01:25+02:00,11:14+09:00,340|RKSI,SVMI,23:58+09:00,22:23-04:00,300
LKPR,SVMI,01:25+02:00,01:09-04:00,1,false|LKPR,RKSI,01:25+02:00,11:14+09:00,340|RKSI,LATI,21:00+09:00,16:56+02:00,340|LATI,SVMI,18:00+02:00,01:09-04:00,360
