OMDB,SKBO,00:23+04:00,21:42-05:00,0,false|OMDB,SEQM,00:23+04:00,10:19-05:00,320|SEQM,SKBO,19:55-05:00,21:42-05:00,360
OMDB,SVMI,14:52+04:00,00:22-04:00,2,false|OMDB,LATI,14:52+04:00,18:36+02:00,360|LATI,EKCH,22:57+02:00,02:00+02:00,340|EKCH,SVMI,18:53+02:00,00:22-04:00,300
OMDB,SVMI,14:52+04:00,19:48-04:00,1,false|OMDB,LATI,14:52+04:00,18:36+02:00,360|LATI,EHAM,20:50+02:00,00:56+02:00,340|EHAM,SVMI,14:02+02:00,19:48-04:00,360
OMDB,SVMI,14:52+04:00,04:44-04:00,2,false|OMDB,LATI,14:52+04:00,18:36+02:00,360|LATI,EHAM,20:50+02:00,00:56+02:00,340|EHAM,SVMI,23:58+02:00,04:44-04:00,340
OMDB,SVMI,14:52+04:00,20:24-04:00,1,false|OMDB,LATI,14:52+04:00,18:36+02:00,360|LATI,VIDP,20:29+02:00,07:17+05:00,300|VIDP,SVMI,10:32+05:00,20:24-04:00,320
OMDB,SVMI,14:52+04:00,04:19-04:00,2,false|OMDB,LATI,14:52+04:00,18:36+02:00,360|LATI,VIDP,20:29+02:00,07:17+05:00,300|VIDP,SVMI,18:27+05:00,04:19-04:00,340
OMDB,SVMI,14:52+04:00,08:27-04:00,1,false|OMDB,LATI,14:52+04:00,18:36+02:00,360|LATI,RKSI,22:09+02:00,07:05+09:00,300|RKSI,SVMI,09:02+09:00,08:27-04:00,300
OMDB,SVMI,14:52+04:00,12:53-04:00,1,false|OMDB,LATI,14:52+04:00,18:36+02:00,360|LATI,RKSI,22:09+02:00,07:05+09:00,300|RKSI,SVMI,13:28+09:00,12:53-04:00,300
OMDB,SVMI,14:52+04:00,22:23-04:00,1,false|OMDB,LATI,14:52+04:00,18:36+02:00,360|LATI,RKSI,22:09+02:00,07:05+09:00,300|RKSI,SVMI,23:58+09:00,22:23-04:00,300
OMDB,SVMI,14:52+04:00,15:09-04:00,1,false|OMDB,LATI,14:52+04:00,18:36+02:00,360|LATI,VTBS,21:17+02:00,08:21+07:00,320|VTBS,SVMI,14:46+07:00,15:09-04:00,340
OMDB,SVMI,14:52+04:00,23:26-04:00,1,false|OMDB,LATI,14:52+04:00,18:36+02:00,360|LATI,VTBS,21:17+02:00,08:21+07:00,320|VTBS,SVMI,22:03+07:00,23:26-04:00,360
OMDB,SVMI,14:52+04:00,13:01-04:00,1,false|OMDB,LATI,14:52+04:00,18:36+02:00,360|LATI,WMKK,20:40+02:00,09:14+08:00,300|WMKK,SVMI,13:25+08:00,13:01-04:00,340
OMDB,SVMI,14:52+04:00,18:22-04:00,1,false|OMDB,LATI,14:52+04:00,18:36+02:00,360|LATI,WMKK,20:40+02:00,09:14+08:00,300|WMKK,SVMI,18:46+08:00,18:22-04:00,340
OMDB,SVMI,14:52+04:00,21:27-04:00,1,false|OMDB,LATI,14:52+04:00,18:36+02:00,360|LATI,WSSS,21:53+02:00,10:35+08:00,300|WSSS,SVMI,21:49+08:00,21:27-04:00,300
OMDB,SVMI,20:52+04:00,17:19-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,SKBO,04:11+02:00,11:43-05:00,360|SKBO,SVMI,13:56-05:00,17:19-04:00,360
OMDB,SVMI,20:52+04:00,23:41-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,SKBO,04:11+02:00,11:43-05:00,360|SKBO,SVMI,19:18-05:00,23:41-04:00,360
OMDB,SVMI,20:52+04:00,23:41-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,SKBO,08:17+02:00,15:49-05:00,360|SKBO,SVMI,19:18-05:00,23:41-04:00,360
OMDB,SVMI,20:52+04:00,03:08-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,SEQM,01:17+02:00,09:36-05:00,340|SEQM,SVMI,22:58-05:00,03:08-04:00,360
OMDB,SVMI,20:52+04:00,03:08-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,SEQM,10:12+02:00,18:31-05:00,320|SEQM,SVMI,22:58-05:00,03:08-04:00,360
OMDB,SVMI,20:52+04:00,08:33-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,SVMI,01:24+02:00,08:33-04:00,300
OMDB,SVMI,20:52+04:00,21:30-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,SVMI,14:21+02:00,21:30-04:00,300
OMDB,SVMI,20:52+04:00,01:09-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,SVMI,18:00+02:00,01:09-04:00,360
OMDB,SVMI,20:52+04:00,22:54-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,SPIM,02:20+02:00,11:39-05:00,320|SPIM,SVMI,16:28-05:00,22:54-04:00,360
OMDB,SVMI,20:52+04:00,00:41-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,SPIM,02:20+02:00,11:39-05:00,320|SPIM,SVMI,18:15-05:00,00:41-04:00,340
OMDB,SVMI,20:52+04:00,22:54-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,SPIM,06:00+02:00,15:19-05:00,340|SPIM,SVMI,16:28-05:00,22:54-04:00,360
OMDB,SVMI,20:52+04:00,00:41-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,SPIM,06:00+02:00,15:19-05:00,340|SPIM,SVMI,18:15-05:00,00:41-04:00,340
OMDB,SVMI,20:52+04:00,22:27-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,SLLP,04:48+02:00,13:32-04:00,340|SLLP,SVMI,17:49-04:00,22:27-04:00,300
OMDB,SVMI,20:52+04:00,21:28-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,SCEL,02:36+02:00,14:01-03:00,320|SCEL,SVMI,14:26-03:00,21:28-04:00,320
OMDB,SVMI,20:52+04:00,05:57-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,SUAA,03:18+02:00,14:32-03:00,320|SUAA,SVMI,22:40-03:00,05:57-04:00,340
OMDB,SVMI,20:52+04:00,05:57-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,SUAA,11:18+02:00,22:32-03:00,340|SUAA,SVMI,22:40-03:00,05:57-04:00,340
OMDB,SVMI,20:52+04:00,19:16-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,EDDI,03:52+02:00,06:30+02:00,300|EDDI,SVMI,13:44+02:00,19:16-04:00,320
OMDB,SVMI,20:52+04:00,03:34-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,EDDI,03:52+02:00,06:30+02:00,300|EDDI,SVMI,21:02+02:00,03:34-04:00,320
OMDB,SVMI,20:52+04:00,03:34-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,EDDI,15:32+02:00,18:10+02:00,320|EDDI,SVMI,21:02+02:00,03:34-04:00,320
OMDB,SVMI,20:52+04:00,14:41-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,EBCI,05:25+02:00,08:20+02:00,300|EBCI,SVMI,09:58+02:00,14:41-04:00,360
OMDB,SVMI,20:52+04:00,20:58-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,EBCI,05:25+02:00,08:20+02:00,300|EBCI,SVMI,15:15+02:00,20:58-04:00,340
OMDB,SVMI,20:52+04:00,20:58-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,EBCI,10:13+02:00,13:08+02:00,360|EBCI,SVMI,15:15+02:00,20:58-04:00,340
OMDB,SVMI,20:52+04:00,18:43-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,UMMS,05:36+02:00,09:28+03:00,360|UMMS,SVMI,12:55+03:00,18:43-04:00,320
OMDB,SVMI,20:52+04:00,04:26-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,UMMS,05:36+02:00,09:28+03:00,360|UMMS,SVMI,22:38+03:00,04:26-04:00,300
OMDB,SVMI,20:52+04:00,15:01-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,LBSF,03:53+02:00,06:19+03:00,360|LBSF,SVMI,09:28+03:00,15:01-04:00,340
OMDB,SVMI,20:52+04:00,19:47-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,LBSF,03:53+02:00,06:19+03:00,360|LBSF,SVMI,13:14+03:00,19:47-04:00,320
OMDB,SVMI,20:52+04:00,03:41-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,LBSF,03:53+02:00,06:19+03:00,360|LBSF,SVMI,21:08+03:00,03:41-04:00,300
OMDB,SVMI,20:52+04:00,03:41-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,LBSF,10:06+02:00,13:32+03:00,300|LBSF,SVMI,21:08+03:00,03:41-04:00,300
OMDB,SVMI,20:52+04:00,03:41-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,LBSF,16:24+02:00,19:50+03:00,320|LBSF,SVMI,21:08+03:00,03:41-04:00,300
OMDB,SVMI,20:52+04:00,17:05-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,LKPR,04:32+02:00,07:53+02:00,300|LKPR,SVMI,11:28+02:00,17:05-04:00,300
OMDB,SVMI,20:52+04:00,00:13-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,LKPR,04:32+02:00,07:53+02:00,300|LKPR,SVMI,18:36+02:00,00:13-04:00,340
OMDB,SVMI,20:52+04:00,00:13-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,LKPR,11:57+02:00,14:18+02:00,320|LKPR,SVMI,18:36+02:00,00:13-04:00,340
OMDB,SVMI,20:52+04:00,14:17-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,LDZA,02:37+02:00,04:15+02:00,360|LDZA,SVMI,08:29+02:00,14:17-04:00,340
OMDB,SVMI,20:52+04:00,03:33-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,LDZA,02:37+02:00,04:15+02:00,360|LDZA,SVMI,21:45+02:00,03:33-04:00,360
OMDB,SVMI,20:52+04:00,03:33-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,LDZA,11:52+02:00,13:30+02:00,360|LDZA,SVMI,21:45+02:00,03:33-04:00,360
OMDB,SVMI,20:52+04:00,03:33-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,LDZA,12:58+02:00,14:36+02:00,300|LDZA,SVMI,21:45+02:00,03:33-04:00,360
OMDB,SVMI,20:52+04:00,14:19-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,EKCH,04:13+02:00,08:16+02:00,320|EKCH,SVMI,08:50+02:00,14:19-04:00,320
OMDB,SVMI,20:52+04:00,00:22-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,EKCH,04:13+02:00,08:16+02:00,320|EKCH,SVMI,18:53+02:00,00:22-04:00,300
OMDB,SVMI,20:52+04:00,00:22-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,EKCH,09:36+02:00,13:39+02:00,320|EKCH,SVMI,18:53+02:00,00:22-04:00,300
OMDB,SVMI,20:52+04:00,19:48-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,EHAM,01:57+02:00,05:03+02:00,340|EHAM,SVMI,14:02+02:00,19:48-04:00,360
OMDB,SVMI,20:52+04:00,04:44-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,EHAM,01:57+02:00,05:03+02:00,340|EHAM,SVMI,23:58+02:00,04:44-04:00,340
OMDB,SVMI,20:52+04:00,19:48-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,EHAM,07:15+02:00,11:21+02:00,320|EHAM,SVMI,14:02+02:00,19:48-04:00,360
OMDB,SVMI,20:52+04:00,04:44-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,EHAM,07:15+02:00,11:21+02:00,320|EHAM,SVMI,23:58+02:00,04:44-04:00,340
OMDB,SVMI,20:52+04:00,04:44-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,EHAM,17:31+02:00,21:37+02:00,340|EHAM,SVMI,23:58+02:00,04:44-04:00,340
OMDB,SVMI,20:52+04:00,04:19-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,VIDP,05:44+02:00,16:32+05:00,340|VIDP,SVMI,18:27+05:00,04:19-04:00,340
OMDB,SVMI,20:52+04:00,22:23-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,RKSI,05:26+02:00,14:22+09:00,300|RKSI,SVMI,23:58+09:00,22:23-04:00,300
OMDB,SVMI,20:52+04:00,22:23-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,RKSI,09:21+02:00,18:17+09:00,320|RKSI,SVMI,23:58+09:00,22:23-04:00,300
OMDB,SVMI,20:52+04:00,08:27-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,RKSI,22:09+02:00,07:05+09:00,300|RKSI,SVMI,09:02+09:00,08:27-04:00,300
OMDB,SVMI,20:52+04:00,12:53-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,RKSI,22:09+02:00,07:05+09:00,300|RKSI,SVMI,13:28+09:00,12:53-04:00,300
OMDB,SVMI,20:52+04:00,15:09-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,VTBS,02:38+02:00,13:42+07:00,360|VTBS,SVMI,14:46+07:00,15:09-04:00,340
OMDB,SVMI,20:52+04:00,23:26-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,VTBS,02:38+02:00,13:42+07:00,360|VTBS,SVMI,22:03+07:00,23:26-04:00,360
OMDB,SVMI,20:52+04:00,03:58-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,VTBS,13:03+02:00,00:07+07:00,340|VTBS,SVMI,02:35+07:00,03:58-04:00,300
OMDB,SVMI,20:52+04:00,15:09-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,VTBS,13:03+02:00,00:07+07:00,340|VTBS,SVMI,14:46+07:00,15:09-04:00,340
OMDB,SVMI,20:52+04:00,15:09-04:00,2,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,VTBS,21:17+02:00,08:21+07:00,320|VTBS,SVMI,14:46+07:00,15:09-04:00,340
OMDB,SVMI,20:52+04:00,13:47-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,ZBAA,00:50+02:00,08:41+08:00,320|ZBAA,SVMI,13:29+08:00,13:47-04:00,320
OMDB,SVMI,20:52+04:00,23:01-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,ZBAA,00:50+02:00,08:41+08:00,320|ZBAA,SVMI,23:43+08:00,23:01-04:00,340
OMDB,SVMI,20:52+04:00,18:22-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,WMKK,02:41+02:00,15:15+08:00,300|WMKK,SVMI,18:46+08:00,18:22-04:00,340
OMDB,SVMI,20:52+04:00,21:27-04:00,1,false|OMDB,LATI,20:52+04:00,00:36+02:00,340|LATI,WSSS,06:11+02:00,19:53+08:00,360|WSSS,SVMI,21:49+08:00,21:27-04:00,300
OMDB,SVMI,03:04+04:00,14:39-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,SEQM,23:36+03:00,06:31-05:00,360|SEQM,SVMI,09:29-05:00,14:39-04:00,320
OMDB,SVMI,03:04+04:00,18:43-04:00,0,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,SVMI,12:55+03:00,18:43-04:00,320
OMDB,SVMI,03:04+04:00,04:26-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,SVMI,22:38+03:00,04:26-04:00,300
OMDB,SVMI,03:04+04:00,10:26-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,SPIM,15:15+03:00,00:26-05:00,360|SPIM,SVMI,04:00-05:00,10:26-04:00,360
OMDB,SVMI,03:04+04:00,17:32-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,SPIM,15:15+03:00,00:26-05:00,360|SPIM,SVMI,11:06-05:00,17:32-04:00,340
OMDB,SVMI,03:04+04:00,22:54-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,SPIM,15:15+03:00,00:26-05:00,360|SPIM,SVMI,16:28-05:00,22:54-04:00,360
OMDB,SVMI,03:04+04:00,00:41-04:00,2,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,SPIM,15:15+03:00,00:26-05:00,360|SPIM,SVMI,18:15-05:00,00:41-04:00,340
OMDB,SVMI,03:04+04:00,17:32-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,SPIM,23:27+03:00,08:38-05:00,320|SPIM,SVMI,11:06-05:00,17:32-04:00,340
OMDB,SVMI,03:04+04:00,22:54-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,SPIM,23:27+03:00,08:38-05:00,320|SPIM,SVMI,16:28-05:00,22:54-04:00,360
OMDB,SVMI,03:04+04:00,00:41-04:00,2,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,SPIM,23:27+03:00,08:38-05:00,320|SPIM,SVMI,18:15-05:00,00:41-04:00,340
OMDB,SVMI,03:04+04:00,22:27-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,SLLP,19:03+03:00,04:55-04:00,340|SLLP,SVMI,17:49-04:00,22:27-04:00,300
OMDB,SVMI,03:04+04:00,11:50-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,SUAA,14:22+03:00,01:12-03:00,340|SUAA,SVMI,04:33-03:00,11:50-04:00,300
OMDB,SVMI,03:04+04:00,15:50-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,SUAA,14:22+03:00,01:12-03:00,340|SUAA,SVMI,08:33-03:00,15:50-04:00,360
OMDB,SVMI,03:04+04:00,19:45-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,SUAA,14:22+03:00,01:12-03:00,340|SUAA,SVMI,12:28-03:00,19:45-04:00,320
OMDB,SVMI,03:04+04:00,19:45-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,SUAA,22:37+03:00,09:27-03:00,340|SUAA,SVMI,12:28-03:00,19:45-04:00,320
OMDB,SVMI,03:04+04:00,03:34-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,EDDI,12:15+03:00,14:31+02:00,360|EDDI,SVMI,21:02+02:00,03:34-04:00,320
OMDB,SVMI,03:04+04:00,20:58-04:00,0,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,EBCI,11:58+03:00,14:05+02:00,300|EBCI,SVMI,15:15+02:00,20:58-04:00,340
OMDB,SVMI,03:04+04:00,03:41-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,LBSF,13:18+03:00,16:54+03:00,300|LBSF,SVMI,21:08+03:00,03:41-04:00,300
OMDB,SVMI,03:04+04:00,03:33-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,LDZA,15:45+03:00,17:18+02:00,300|LDZA,SVMI,21:45+02:00,03:33-04:00,360
OMDB,SVMI,03:04+04:00,03:33-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,LDZA,17:09+03:00,19:42+02:00,320|LDZA,SVMI,21:45+02:00,03:33-04:00,360
OMDB,SVMI,03:04+04:00,19:48-04:00,0,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,EHAM,09:28+03:00,12:30+02:00,340|EHAM,SVMI,14:02+02:00,19:48-04:00,360
OMDB,SVMI,03:04+04:00,04:44-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,EHAM,09:28+03:00,12:30+02:00,340|EHAM,SVMI,23:58+02:00,04:44-04:00,340
OMDB,SVMI,03:04+04:00,22:23-04:00,0,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,RKSI,10:00+03:00,20:43+09:00,360|RKSI,SVMI,23:58+09:00,22:23-04:00,300
OMDB,SVMI,03:04+04:00,08:27-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,RKSI,17:14+03:00,03:57+09:00,320|RKSI,SVMI,09:02+09:00,08:27-04:00,300
OMDB,SVMI,03:04+04:00,12:53-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,RKSI,17:14+03:00,03:57+09:00,320|RKSI,SVMI,13:28+09:00,12:53-04:00,300
OMDB,SVMI,03:04+04:00,22:23-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,RKSI,17:14+03:00,03:57+09:00,320|RKSI,SVMI,23:58+09:00,22:23-04:00,300
OMDB,SVMI,03:04+04:00,08:27-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,RKSI,18:04+03:00,04:47+09:00,320|RKSI,SVMI,09:02+09:00,08:27-04:00,300
OMDB,SVMI,03:04+04:00,12:53-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,RKSI,18:04+03:00,04:47+09:00,320|RKSI,SVMI,13:28+09:00,12:53-04:00,300
OMDB,SVMI,03:04+04:00,22:23-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,RKSI,18:04+03:00,04:47+09:00,320|RKSI,SVMI,23:58+09:00,22:23-04:00,300
OMDB,SVMI,03:04+04:00,15:09-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,VTBS,17:02+03:00,04:58+07:00,320|VTBS,SVMI,14:46+07:00,15:09-04:00,340
OMDB,SVMI,03:04+04:00,23:26-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,VTBS,17:02+03:00,04:58+07:00,320|VTBS,SVMI,22:03+07:00,23:26-04:00,360
OMDB,SVMI,03:04+04:00,15:09-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,VTBS,23:57+03:00,10:53+07:00,320|VTBS,SVMI,14:46+07:00,15:09-04:00,340
OMDB,SVMI,03:04+04:00,23:26-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,VTBS,23:57+03:00,10:53+07:00,320|VTBS,SVMI,22:03+07:00,23:26-04:00,360
OMDB,SVMI,03:04+04:00,23:01-04:00,0,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,ZBAA,12:21+03:00,21:47+08:00,320|ZBAA,SVMI,23:43+08:00,23:01-04:00,340
OMDB,SVMI,03:04+04:00,07:36-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,ZBAA,16:56+03:00,01:22+08:00,340|ZBAA,SVMI,07:18+08:00,07:36-04:00,300
OMDB,SVMI,03:04+04:00,13:47-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,ZBAA,16:56+03:00,01:22+08:00,340|ZBAA,SVMI,13:29+08:00,13:47-04:00,320
OMDB,SVMI,03:04+04:00,23:01-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,ZBAA,16:56+03:00,01:22+08:00,340|ZBAA,SVMI,23:43+08:00,23:01-04:00,340
OMDB,SVMI,03:04+04:00,04:04-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,RJTT,17:25+03:00,03:20+09:00,320|RJTT,SVMI,05:32+09:00,04:04-04:00,300
OMDB,SVMI,03:04+04:00,13:01-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,WMKK,20:40+03:00,10:06+08:00,300|WMKK,SVMI,13:25+08:00,13:01-04:00,340
OMDB,SVMI,03:04+04:00,18:22-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,WMKK,20:40+03:00,10:06+08:00,300|WMKK,SVMI,18:46+08:00,18:22-04:00,340
OMDB,SVMI,03:04+04:00,21:27-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,WSSS,20:10+03:00,10:44+08:00,340|WSSS,SVMI,21:49+08:00,21:27-04:00,300
OMDB,SVMI,03:04+04:00,13:39-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,WIII,14:12+03:00,05:35+07:00,320|WIII,SVMI,14:32+07:00,13:39-04:00,360
OMDB,SVMI,03:04+04:00,17:51-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,WIII,14:12+03:00,05:35+07:00,320|WIII,SVMI,18:44+07:00,17:51-04:00,360
OMDB,SVMI,03:04+04:00,13:39-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,WIII,19:27+03:00,10:50+07:00,340|WIII,SVMI,14:32+07:00,13:39-04:00,360
OMDB,SVMI,03:04+04:00,17:51-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,WIII,19:27+03:00,10:50+07:00,340|WIII,SVMI,18:44+07:00,17:51-04:00,360
OMDB,SVMI,03:04+04:00,05:00-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,RPLL,15:16+03:00,03:00+08:00,320|RPLL,SVMI,05:22+08:00,05:00-04:00,320
OMDB,SVMI,03:04+04:00,11:32-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,RPLL,15:16+03:00,03:00+08:00,320|RPLL,SVMI,11:54+08:00,11:32-04:00,360
OMDB,SVMI,03:04+04:00,20:10-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,RPLL,15:16+03:00,03:00+08:00,320|RPLL,SVMI,20:32+08:00,20:10-04:00,300
OMDB,SVMI,03:04+04:00,11:32-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,RPLL,20:44+03:00,08:28+08:00,340|RPLL,SVMI,11:54+08:00,11:32-04:00,360
OMDB,SVMI,03:04+04:00,20:10-04:00,1,false|OMDB,UMMS,03:04+04:00,08:54+03:00,320|UMMS,RPLL,20:44+03:00,08:28+08:00,340|RPLL,SVMI,20:32+08:00,20:10-04:00,300
OMDB,SVMI,06:38+04:00,14:39-04:00,1,false|OMDB,UMMS,06:38+04:00,11:28+03:00,300|UMMS,SEQM,23:36+03:00,06:31-05:00,360|SEQM,SVMI,09:29-05:00,14:39-04:00,320
OMDB,SVMI,06:38+04:00,03:08-04:00,2,false|OMDB,UMMS,06:38+04:00,11:28+03:00,300|UMMS,SEQM,23:36+03:00,06:31-05:00,360|SEQM,SVMI,22:58-05:00,03:08-04:00,360
OMDB,SVMI,06:38+04:00,18:43-04:00,0,false|OMDB,UMMS,06:38+04:00,11:28+03:00,300|UMMS,SVMI,12:55+03:00,18:43-04:00,320
