UMMS,SKBO,03:40+03:00,21:42-05:00,0,false|148,UMMS,SEQM,03:40+03:00,10:35-05:00,340|6,SEQM,SKBO,19:55-05:00,21:42-05:00,360
UMMS,SVMI,15:45+03:00,00:13-04:00,2,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1296,LDZA,LKPR,23:08+02:00,01:51+02:00,320|318,LKPR,SVMI,18:36+02:00,00:13-04:00,340
UMMS,SVMI,15:45+03:00,04:44-04:00,1,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1339,LDZA,EHAM,19:08+02:00,22:36+02:00,300|336,EHAM,SVMI,23:58+02:00,04:44-04:00,340
UMMS,SVMI,15:45+03:00,20:24-04:00,1,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1345,LDZA,VIDP,21:33+02:00,09:37+05:00,320|340,VIDP,SVMI,10:32+05:00,20:24-04:00,320
UMMS,SVMI,15:45+03:00,04:19-04:00,2,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1345,LDZA,VIDP,21:33+02:00,09:37+05:00,320|342,VIDP,SVMI,18:27+05:00,04:19-04:00,340
UMMS,SVMI,15:45+03:00,08:27-04:00,1,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1353,LDZA,RKSI,20:59+02:00,06:10+09:00,320|346,RKSI,SVMI,09:02+09:00,08:27-04:00,300
UMMS,SVMI,15:45+03:00,12:53-04:00,1,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1353,LDZA,RKSI,20:59+02:00,06:10+09:00,320|348,RKSI,SVMI,13:28+09:00,12:53-04:00,300
UMMS,SVMI,15:45+03:00,22:23-04:00,1,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1353,LDZA,RKSI,20:59+02:00,06:10+09:00,320|350,RKSI,SVMI,23:58+09:00,22:23-04:00,300
UMMS,SVMI,15:45+03:00,15:09-04:00,1,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1361,LDZA,VTBS,20:51+02:00,07:23+07:00,360|354,VTBS,SVMI,14:46+07:00,15:09-04:00,340
UMMS,SVMI,15:45+03:00,23:26-04:00,1,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1361,LDZA,VTBS,20:51+02:00,07:23+07:00,360|356,VTBS,SVMI,22:03+07:00,23:26-04:00,360
UMMS,SVMI,15:45+03:00,17:20-04:00,1,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1367,LDZA,OMDB,22:35+02:00,07:47+04:00,340|358,OMDB,SVMI,08:34+04:00,17:20-04:00,320
UMMS,SVMI,15:45+03:00,03:47-04:00,2,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1367,LDZA,OMDB,22:35+02:00,07:47+04:00,340|360,OMDB,SVMI,18:01+04:00,03:47-04:00,320
UMMS,SVMI,15:45+03:00,07:36-04:00,1,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1375,LDZA,ZBAA,21:38+02:00,05:30+08:00,320|364,ZBAA,SVMI,07:18+08:00,07:36-04:00,300
UMMS,SVMI,15:45+03:00,13:47-04:00,1,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1375,LDZA,ZBAA,21:38+02:00,05:30+08:00,320|366,ZBAA,SVMI,13:29+08:00,13:47-04:00,320
UMMS,SVMI,15:45+03:00,23:01-04:00,1,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1375,LDZA,ZBAA,21:38+02:00,05:30+08:00,320|368,ZBAA,SVMI,23:43+08:00,23:01-04:00,340
UMMS,SVMI,15:45+03:00,13:01-04:00,1,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1389,LDZA,WMKK,17:33+02:00,07:36+08:00,340|376,WMKK,SVMI,13:25+08:00,13:01-04:00,340
UMMS,SVMI,15:45+03:00,18:22-04:00,1,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1389,LDZA,WMKK,17:33+02:00,07:36+08:00,340|378,WMKK,SVMI,18:46+08:00,18:22-04:00,340
UMMS,SVMI,15:45+03:00,13:01-04:00,1,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1391,LDZA,WMKK,21:37+02:00,11:40+08:00,340|376,WMKK,SVMI,13:25+08:00,13:01-04:00,340
UMMS,SVMI,15:45+03:00,18:22-04:00,1,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1391,LDZA,WMKK,21:37+02:00,11:40+08:00,340|378,WMKK,SVMI,18:46+08:00,18:22-04:00,340
UMMS,SVMI,15:45+03:00,21:27-04:00,1,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1397,LDZA,WSSS,17:25+02:00,07:37+08:00,300|380,WSSS,SVMI,21:49+08:00,21:27-04:00,300
UMMS,SVMI,15:45+03:00,21:27-04:00,1,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1399,LDZA,WSSS,21:27+02:00,11:39+08:00,300|380,WSSS,SVMI,21:49+08:00,21:27-04:00,300
UMMS,SVMI,15:45+03:00,13:39-04:00,1,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1405,LDZA,WIII,17:35+02:00,07:25+07:00,300|384,WIII,SVMI,14:32+07:00,13:39-04:00,360
UMMS,SVMI,15:45+03:00,17:51-04:00,1,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1405,LDZA,WIII,17:35+02:00,07:25+07:00,300|386,WIII,SVMI,18:44+07:00,17:51-04:00,360
UMMS,SVMI,15:45+03:00,05:00-04:00,1,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1411,LDZA,RPLL,17:55+02:00,05:16+08:00,360|388,RPLL,SVMI,05:22+08:00,05:00-04:00,320
UMMS,SVMI,15:45+03:00,11:32-04:00,1,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1411,LDZA,RPLL,17:55+02:00,05:16+08:00,360|390,RPLL,SVMI,11:54+08:00,11:32-04:00,360
UMMS,SVMI,15:45+03:00,20:10-04:00,1,false|1123,UMMS,LDZA,15:45+03:00,17:18+02:00,300|1411,LDZA,RPLL,17:55+02:00,05:16+08:00,360|392,RPLL,SVMI,20:32+08:00,20:10-04:00,300
UMMS,SVMI,17:09+03:00,14:39-04:00,1,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|73,SEQM,SVMI,09:29-05:00,14:39-04:00,320
UMMS,SVMI,17:09+03:00,03:08-04:00,2,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|168,LDZA,SEQM,23:40+02:00,06:39-05:00,300|75,SEQM,SVMI,22:58-05:00,03:08-04:00,360
UMMS,SVMI,17:09+03:00,03:33-04:00,1,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360
UMMS,SVMI,17:09+03:00,22:27-04:00,1,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|686,LDZA,SLLP,21:11+02:00,06:46-04:00,360|260,SLLP,SVMI,17:49-04:00,22:27-04:00,300
UMMS,SVMI,17:09+03:00,09:20-04:00,1,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|288,EDDI,SVMI,03:48+02:00,09:20-04:00,360
UMMS,SVMI,17:09+03:00,19:16-04:00,1,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|290,EDDI,SVMI,13:44+02:00,19:16-04:00,320
UMMS,SVMI,17:09+03:00,03:34-04:00,2,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|292,EDDI,SVMI,21:02+02:00,03:34-04:00,320
UMMS,SVMI,17:09+03:00,14:41-04:00,1,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|1094,LDZA,EBCI,22:49+02:00,01:08+02:00,320|296,EBCI,SVMI,09:58+02:00,14:41-04:00,360
UMMS,SVMI,17:09+03:00,20:58-04:00,1,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|1094,LDZA,EBCI,22:49+02:00,01:08+02:00,320|298,EBCI,SVMI,15:15+02:00,20:58-04:00,340
UMMS,SVMI,17:09+03:00,11:50-04:00,1,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|1296,LDZA,LKPR,23:08+02:00,01:51+02:00,320|314,LKPR,SVMI,05:13+02:00,11:50-04:00,300
UMMS,SVMI,17:09+03:00,17:05-04:00,1,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|1296,LDZA,LKPR,23:08+02:00,01:51+02:00,320|316,LKPR,SVMI,11:28+02:00,17:05-04:00,300
UMMS,SVMI,17:09+03:00,00:13-04:00,2,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|1296,LDZA,LKPR,23:08+02:00,01:51+02:00,320|318,LKPR,SVMI,18:36+02:00,00:13-04:00,340
UMMS,SVMI,17:09+03:00,20:24-04:00,1,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|1345,LDZA,VIDP,21:33+02:00,09:37+05:00,320|340,VIDP,SVMI,10:32+05:00,20:24-04:00,320
UMMS,SVMI,17:09+03:00,04:19-04:00,2,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|1345,LDZA,VIDP,21:33+02:00,09:37+05:00,320|342,VIDP,SVMI,18:27+05:00,04:19-04:00,340
UMMS,SVMI,17:09+03:00,08:27-04:00,1,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|1353,LDZA,RKSI,20:59+02:00,06:10+09:00,320|346,RKSI,SVMI,09:02+09:00,08:27-04:00,300
UMMS,SVMI,17:09+03:00,12:53-04:00,1,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|1353,LDZA,RKSI,20:59+02:00,06:10+09:00,320|348,RKSI,SVMI,13:28+09:00,12:53-04:00,300
UMMS,SVMI,17:09+03:00,22:23-04:00,1,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|1353,LDZA,RKSI,20:59+02:00,06:10+09:00,320|350,RKSI,SVMI,23:58+09:00,22:23-04:00,300
UMMS,SVMI,17:09+03:00,15:09-04:00,1,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|1361,LDZA,VTBS,20:51+02:00,07:23+07:00,360|354,VTBS,SVMI,14:46+07:00,15:09-04:00,340
UMMS,SVMI,17:09+03:00,23:26-04:00,1,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|1361,LDZA,VTBS,20:51+02:00,07:23+07:00,360|356,VTBS,SVMI,22:03+07:00,23:26-04:00,360
UMMS,SVMI,17:09+03:00,17:20-04:00,1,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|1367,LDZA,OMDB,22:35+02:00,07:47+04:00,340|358,OMDB,SVMI,08:34+04:00,17:20-04:00,320
UMMS,SVMI,17:09+03:00,03:47-04:00,2,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|1367,LDZA,OMDB,22:35+02:00,07:47+04:00,340|360,OMDB,SVMI,18:01+04:00,03:47-04:00,320
UMMS,SVMI,17:09+03:00,07:36-04:00,1,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|1375,LDZA,ZBAA,21:38+02:00,05:30+08:00,320|364,ZBAA,SVMI,07:18+08:00,07:36-04:00,300
UMMS,SVMI,17:09+03:00,13:47-04:00,1,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|1375,LDZA,ZBAA,21:38+02:00,05:30+08:00,320|366,ZBAA,SVMI,13:29+08:00,13:47-04:00,320
UMMS,SVMI,17:09+03:00,23:01-04:00,1,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|1375,LDZA,ZBAA,21:38+02:00,05:30+08:00,320|368,ZBAA,SVMI,23:43+08:00,23:01-04:00,340
UMMS,SVMI,17:09+03:00,13:01-04:00,1,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|1391,LDZA,WMKK,21:37+02:00,11:40+08:00,340|376,WMKK,SVMI,13:25+08:00,13:01-04:00,340
UMMS,SVMI,17:09+03:00,18:22-04:00,1,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|1391,LDZA,WMKK,21:37+02:00,11:40+08:00,340|378,WMKK,SVMI,18:46+08:00,18:22-04:00,340
UMMS,SVMI,17:09+03:00,21:27-04:00,1,false|1125,UMMS,LDZA,17:09+03:00,19:42+02:00,320|1399,LDZA,WSSS,21:27+02:00,11:39+08:00,300|380,WSSS,SVMI,21:49+08:00,21:27-04:00,300
UMMS,SVMI,08:57+03:00,14:39-04:00,1,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|176,EKCH,SEQM,20:06+02:00,03:41-05:00,340|73,SEQM,SVMI,09:29-05:00,14:39-04:00,320
UMMS,SVMI,08:57+03:00,03:08-04:00,2,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|176,EKCH,SEQM,20:06+02:00,03:41-05:00,340|75,SEQM,SVMI,22:58-05:00,03:08-04:00,360
UMMS,SVMI,08:57+03:00,00:22-04:00,1,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|330,EKCH,SVMI,18:53+02:00,00:22-04:00,300
UMMS,SVMI,08:57+03:00,22:27-04:00,1,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|692,EKCH,SLLP,17:42+02:00,02:20-04:00,300|260,SLLP,SVMI,17:49-04:00,22:27-04:00,300
UMMS,SVMI,08:57+03:00,22:27-04:00,1,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|694,EKCH,SLLP,21:37+02:00,06:15-04:00,320|260,SLLP,SVMI,17:49-04:00,22:27-04:00,300
UMMS,SVMI,08:57+03:00,01:09-04:00,1,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|922,EKCH,LATI,11:47+02:00,15:50+02:00,340|286,LATI,SVMI,18:00+02:00,01:09-04:00,360
UMMS,SVMI,08:57+03:00,03:34-04:00,1,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|1028,EKCH,EDDI,17:20+02:00,19:45+02:00,340|292,EDDI,SVMI,21:02+02:00,03:34-04:00,320
UMMS,SVMI,08:57+03:00,03:34-04:00,1,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|1030,EKCH,EDDI,18:37+02:00,20:02+02:00,340|292,EDDI,SVMI,21:02+02:00,03:34-04:00,320
UMMS,SVMI,08:57+03:00,20:58-04:00,0,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|1098,EKCH,EBCI,13:11+02:00,15:09+02:00,300|298,EBCI,SVMI,15:15+02:00,20:58-04:00,340
UMMS,SVMI,08:57+03:00,14:41-04:00,1,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|1100,EKCH,EBCI,21:58+02:00,23:56+02:00,320|296,EBCI,SVMI,09:58+02:00,14:41-04:00,360
UMMS,SVMI,08:57+03:00,20:58-04:00,1,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|1100,EKCH,EBCI,21:58+02:00,23:56+02:00,320|298,EBCI,SVMI,15:15+02:00,20:58-04:00,340
UMMS,SVMI,08:57+03:00,09:46-04:00,1,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|1220,EKCH,LBSF,21:53+02:00,02:57+03:00,360|306,LBSF,SVMI,03:13+03:00,09:46-04:00,320
UMMS,SVMI,08:57+03:00,15:01-04:00,1,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|1220,EKCH,LBSF,21:53+02:00,02:57+03:00,360|308,LBSF,SVMI,09:28+03:00,15:01-04:00,340
UMMS,SVMI,08:57+03:00,19:47-04:00,1,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|1220,EKCH,LBSF,21:53+02:00,02:57+03:00,360|310,LBSF,SVMI,13:14+03:00,19:47-04:00,320
UMMS,SVMI,08:57+03:00,03:41-04:00,2,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|1220,EKCH,LBSF,21:53+02:00,02:57+03:00,360|312,LBSF,SVMI,21:08+03:00,03:41-04:00,300
UMMS,SVMI,08:57+03:00,00:13-04:00,1,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|1302,EKCH,LKPR,13:21+02:00,15:04+02:00,320|318,LKPR,SVMI,18:36+02:00,00:13-04:00,340
UMMS,SVMI,08:57+03:00,03:33-04:00,1,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|1332,EKCH,LDZA,11:31+02:00,14:57+02:00,360|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360
UMMS,SVMI,08:57+03:00,10:08-04:00,1,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|1334,EKCH,LDZA,21:23+02:00,00:49+02:00,300|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320
UMMS,SVMI,08:57+03:00,14:17-04:00,1,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|1334,EKCH,LDZA,21:23+02:00,00:49+02:00,300|322,LDZA,SVMI,08:29+02:00,14:17-04:00,340
UMMS,SVMI,08:57+03:00,03:33-04:00,2,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|1334,EKCH,LDZA,21:23+02:00,00:49+02:00,300|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360
UMMS,SVMI,08:57+03:00,04:44-04:00,1,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|1417,EKCH,EHAM,14:57+02:00,16:44+02:00,300|336,EHAM,SVMI,23:58+02:00,04:44-04:00,340
UMMS,SVMI,08:57+03:00,04:44-04:00,1,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|1419,EKCH,EHAM,21:32+02:00,23:19+02:00,360|336,EHAM,SVMI,23:58+02:00,04:44-04:00,340
UMMS,SVMI,08:57+03:00,20:24-04:00,1,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|1425,EKCH,VIDP,19:32+02:00,07:58+05:00,300|340,VIDP,SVMI,10:32+05:00,20:24-04:00,320
UMMS,SVMI,08:57+03:00,04:19-04:00,2,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|1425,EKCH,VIDP,19:32+02:00,07:58+05:00,300|342,VIDP,SVMI,18:27+05:00,04:19-04:00,340
UMMS,SVMI,08:57+03:00,22:23-04:00,0,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|1429,EKCH,RKSI,12:06+02:00,23:37+09:00,340|350,RKSI,SVMI,23:58+09:00,22:23-04:00,300
UMMS,SVMI,08:57+03:00,15:09-04:00,1,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|1433,EKCH,VTBS,15:08+02:00,03:00+07:00,320|354,VTBS,SVMI,14:46+07:00,15:09-04:00,340
UMMS,SVMI,08:57+03:00,23:26-04:00,1,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|1433,EKCH,VTBS,15:08+02:00,03:00+07:00,320|356,VTBS,SVMI,22:03+07:00,23:26-04:00,360
UMMS,SVMI,08:57+03:00,15:09-04:00,1,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|1435,EKCH,VTBS,16:34+02:00,04:26+07:00,300|354,VTBS,SVMI,14:46+07:00,15:09-04:00,340
UMMS,SVMI,08:57+03:00,23:26-04:00,1,false|1127,UMMS,EKCH,08:57+03:00,10:17+02:00,320|1435,EKCH,VTBS,16:34+02:00,04:26+07:00,300|356,VTBS,SVMI,22:03+07:00,23:26-04:00,360
UMMS,SVMI,17:26+03:00,14:39-04:00,1,false|1129,UMMS,EKCH,17:26+03:00,19:46+02:00,360|176,EKCH,SEQM,20:06+02:00,03:41-05:00,340|73,SEQM,SVMI,09:29-05:00,14:39-04:00,320
UMMS,SVMI,17:26+03:00,03:08-04:00,2,false|1129,UMMS,EKCH,17:26+03:00,19:46+02:00,360|176,EKCH,SEQM,20:06+02:00,03:41-05:00,340|75,SEQM,SVMI,22:58-05:00,03:08-04:00,360
UMMS,SVMI,17:26+03:00,22:27-04:00,1,false|1129,UMMS,EKCH,17:26+03:00,19:46+02:00,360|694,EKCH,SLLP,21:37+02:00,06:15-04:00,320|260,SLLP,SVMI,17:49-04:00,22:27-04:00,300
UMMS,SVMI,17:26+03:00,14:41-04:00,1,false|1129,UMMS,EKCH,17:26+03:00,19:46+02:00,360|1100,EKCH,EBCI,21:58+02:00,23:56+02:00,320|296,EBCI,SVMI,09:58+02:00,14:41-04:00,360
UMMS,SVMI,17:26+03:00,20:58-04:00,1,false|1129,UMMS,EKCH,17:26+03:00,19:46+02:00,360|1100,EKCH,EBCI,21:58+02:00,23:56+02:00,320|298,EBCI,SVMI,15:15+02:00,20:58-04:00,340
UMMS,SVMI,17:26+03:00,09:46-04:00,1,false|1129,UMMS,EKCH,17:26+03:00,19:46+02:00,360|1220,EKCH,LBSF,21:53+02:00,02:57+03:00,360|306,LBSF,SVMI,03:13+03:00,09:46-04:00,320
UMMS,SVMI,17:26+03:00,15:01-04:00,1,false|1129,UMMS,EKCH,17:26+03:00,19:46+02:00,360|1220,EKCH,LBSF,21:53+02:00,02:57+03:00,360|308,LBSF,SVMI,09:28+03:00,15:01-04:00,340
UMMS,SVMI,17:26+03:00,19:47-04:00,1,false|1129,UMMS,EKCH,17:26+03:00,19:46+02:00,360|1220,EKCH,LBSF,21:53+02:00,02:57+03:00,360|310,LBSF,SVMI,13:14+03:00,19:47-04:00,320
UMMS,SVMI,17:26+03:00,03:41-04:00,2,false|1129,UMMS,EKCH,17:26+03:00,19:46+02:00,360|1220,EKCH,LBSF,21:53+02:00,02:57+03:00,360|312,LBSF,SVMI,21:08+03:00,03:41-04:00,300
UMMS,SVMI,17:26+03:00,10:08-04:00,1,false|1129,UMMS,EKCH,17:26+03:00,19:46+02:00,360|1334,EKCH,LDZA,21:23+02:00,00:49+02:00,300|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320
UMMS,SVMI,17:26+03:00,14:17-04:00,1,false|1129,UMMS,EKCH,17:26+03:00,19:46+02:00,360|1334,EKCH,LDZA,21:23+02:00,00:49+02:00,300|322,LDZA,SVMI,08:29+02:00,14:17-04:00,340
UMMS,SVMI,17:26+03:00,03:33-04:00,2,false|1129,UMMS,EKCH,17:26+03:00,19:46+02:00,360|1334,EKCH,LDZA,21:23+02:00,00:49+02:00,300|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360
UMMS,SVMI,17:26+03:00,04:44-04:00,1,false|1129,UMMS,EKCH,17:26+03:00,19:46+02:00,360|1419,EKCH,EHAM,21:32+02:00,23:19+02:00,360|336,EHAM,SVMI,23:58+02:00,04:44-04:00,340
UMMS,SVMI,07:35+03:00,03:08-04:00,1,false|1131,UMMS,EHAM,07:35+03:00,10:37+02:00,300|180,EHAM,SEQM,13:36+02:00,19:30-05:00,320|75,SEQM,SVMI,22:58-05:00,03:08-04:00,360
UMMS,SVMI,07:35+03:00,14:39-04:00,1,false|1131,UMMS,EHAM,07:35+03:00,10:37+02:00,300|182,EHAM,SEQM,21:05+02:00,03:59-05:00,300|73,SEQM,SVMI,09:29-05:00,14:39-04:00,320
UMMS,SVMI,07:35+03:00,03:08-04:00,2,false|1131,UMMS,EHAM,07:35+03:00,10:37+02:00,300|182,EHAM,SEQM,21:05+02:00,03:59-05:00,300|75,SEQM,SVMI,22:58-05:00,03:08-04:00,360
UMMS,SVMI,07:35+03:00,19:48-04:00,0,false|1131,UMMS,EHAM,07:35+03:00,10:37+02:00,300|334,EHAM,SVMI,14:02+02:00,19:48-04:00,360
UMMS,SVMI,07:35+03:00,04:44-04:00,1,false|1131,UMMS,EHAM,07:35+03:00,10:37+02:00,300|336,EHAM,SVMI,23:58+02:00,04:44-04:00,340
UMMS,SVMI,07:35+03:00,11:36-04:00,1,false|1131,UMMS,EHAM,07:35+03:00,10:37+02:00,300|482,EHAM,SBBR,17:41+02:00,01:54-03:00,300|250,SBBR,SVMI,06:14-03:00,11:36-04:00,340
UMMS,SVMI,07:35+03:00,22:27-04:00,1,false|1131,UMMS,EHAM,07:35+03:00,10:37+02:00,300|702,EHAM,SLLP,23:15+02:00,07:07-04:00,320|260,SLLP,SVMI,17:49-04:00,22:27-04:00,300
UMMS,SVMI,07:35+03:00,01:09-04:00,1,false|1131,UMMS,EHAM,07:35+03:00,10:37+02:00,300|930,EHAM,LATI,12:00+02:00,16:06+02:00,360|286,LATI,SVMI,18:00+02:00,01:09-04:00,360
UMMS,SVMI,07:35+03:00,21:30-04:00,1,false|1131,UMMS,EHAM,07:35+03:00,10:37+02:00,300|932,EHAM,LATI,21:18+02:00,01:24+02:00,300|284,LATI,SVMI,14:21+02:00,21:30-04:00,300
UMMS,SVMI,07:35+03:00,01:09-04:00,2,false|1131,UMMS,EHAM,07:35+03:00,10:37+02:00,300|932,EHAM,LATI,21:18+02:00,01:24+02:00,300|286,LATI,SVMI,18:00+02:00,01:09-04:00,360
UMMS,SVMI,07:35+03:00,10:49-04:00,1,false|1131,UMMS,EHAM,07:35+03:00,10:37+02:00,300|1062,EHAM,LOWW,22:53+02:00,01:05+02:00,320|294,LOWW,SVMI,04:01+02:00,10:49-04:00,320
UMMS,SVMI,07:35+03:00,14:41-04:00,1,false|1131,UMMS,EHAM,07:35+03:00,10:37+02:00,300|1104,EHAM,EBCI,22:06+02:00,00:22+02:00,340|296,EBCI,SVMI,09:58+02:00,14:41-04:00,360
UMMS,SVMI,07:35+03:00,20:58-04:00,1,false|1131,UMMS,EHAM,07:35+03:00,10:37+02:00,300|1104,EHAM,EBCI,22:06+02:00,00:22+02:00,340|298,EBCI,SVMI,15:15+02:00,20:58-04:00,340
UMMS,SVMI,07:35+03:00,03:41-04:00,1,false|1131,UMMS,EHAM,07:35+03:00,10:37+02:00,300|1224,EHAM,LBSF,11:19+02:00,16:35+03:00,320|312,LBSF,SVMI,21:08+03:00,03:41-04:00,300
UMMS,SVMI,07:35+03:00,03:41-04:00,1,false|1131,UMMS,EHAM,07:35+03:00,10:37+02:00,300|1226,EHAM,LBSF,13:16+02:00,18:32+03:00,300|312,LBSF,SVMI,21:08+03:00,03:41-04:00,300
UMMS,SVMI,07:35+03:00,10:08-04:00,1,false|1131,UMMS,EHAM,07:35+03:00,10:37+02:00,300|1340,EHAM,LDZA,23:56+02:00,02:24+02:00,340|320,LDZA,SVMI,04:20+02:00,10:08-04:00,320
UMMS,SVMI,07:35+03:00,14:17-04:00,1,false|1131,UMMS,EHAM,07:35+03:00,10:37+02:00,300|1340,EHAM,LDZA,23:56+02:00,02:24+02:00,340|322,LDZA,SVMI,08:29+02:00,14:17-04:00,340
UMMS,SVMI,07:35+03:00,03:33-04:00,2,false|1131,UMMS,EHAM,07:35+03:00,10:37+02:00,300|1340,EHAM,LDZA,23:56+02:00,02:24+02:00,340|324,LDZA,SVMI,21:45+02:00,03:33-04:00,360
UMMS,SVMI,07:35+03:00,00:22-04:00,1,false|1131,UMMS,EHAM,07:35+03:00,10:37+02:00,300|1418,EHAM,EKCH,15:00+02:00,17:47+02:00,300|330,EKCH,SVMI,18:53+02:00,00:22-04:00,300
UMMS,SVMI,07:35+03:00,12:51-04:00,1,false|1131,UMMS,EHAM,07:35+03:00,10:37+02:00,300|1420,EHAM,EKCH,22:22+02:00,00:09+02:00,300|326,EKCH,SVMI,06:22+02:00,12:51-04:00,360
UMMS,SVMI,07:35+03:00,14:19-04:00,1,false|1131,UMMS,EHAM,07:35+03:00,10:37+02:00,300|1420,EHAM,EKCH,22:22+02:00,00:09+02:00,300|328,EKCH,SVMI,08:50+02:00,14:19-04:00,320
