LBSF,SKBO,02:46+03:00,21:42-05:00,0,false|LBSF,SEQM,02:46+03:00,09:29-05:00,360|SEQM,SKBO,19:55-05:00,21:42-05:00,360
LBSF,SKBO,05:13+03:00,08:56-05:00,1,false|LBSF,EDDI,05:13+03:00,07:54+02:00,320|EDDI,SVMI,21:02+02:00,03:34-04:00,320|SVMI,SKBO,06:33-04:00,08:56-05:00,340
LBSF,SKBO,05:13+03:00,16:58-05:00,1,false|LBSF,EDDI,05:13+03:00,07:54+02:00,320|EDDI,SVMI,21:02+02:00,03:34-04:00,320|SVMI,SKBO,14:35-04:00,16:58-05:00,340
LBSF,SKBO,05:13+03:00,23:15-05:00,1,false|LBSF,EDDI,05:13+03:00,07:54+02:00,320|EDDI,SVMI,21:02+02:00,03:34-04:00,320|SVMI,SKBO,21:52-04:00,23:15-05:00,360
LBSF,SKBO,05:13+03:00,01:32-05:00,1,false|LBSF,EDDI,05:13+03:00,07:54+02:00,320|EDDI,SBBR,11:26+02:00,19:16-03:00,320|SBBR,SKBO,21:57-03:00,01:32-05:00,360
LBSF,SKBO,05:13+03:00,07:37-05:00,1,false|LBSF,EDDI,05:13+03:00,07:54+02:00,320|EDDI,SBBR,16:48+02:00,00:38-03:00,320|SBBR,SKBO,03:02-03:00,07:37-05:00,320
LBSF,SKBO,05:13+03:00,19:28-05:00,1,false|LBSF,EDDI,05:13+03:00,07:54+02:00,320|EDDI,SBBR,16:48+02:00,00:38-03:00,320|SBBR,SKBO,15:53-03:00,19:28-05:00,360
LBSF,SKBO,05:13+03:00,01:32-05:00,2,false|LBSF,EDDI,05:13+03:00,07:54+02:00,320|EDDI,SBBR,16:48+02:00,00:38-03:00,320|SBBR,SKBO,21:57-03:00,01:32-05:00,360
LBSF,SKBO,05:13+03:00,12:18-05:00,1,false|LBSF,EDDI,05:13+03:00,07:54+02:00,320|EDDI,SPIM,21:42+02:00,05:36-05:00,300|SPIM,SKBO,08:02-05:00,12:18-05:00,300
LBSF,SKBO,05:13+03:00,22:25-05:00,1,false|LBSF,EDDI,05:13+03:00,07:54+02:00,320|EDDI,SPIM,21:42+02:00,05:36-05:00,300|SPIM,SKBO,18:09-05:00,22:25-05:00,340
LBSF,SKBO,05:13+03:00,23:04-05:00,1,false|LBSF,EDDI,05:13+03:00,07:54+02:00,320|EDDI,SLLP,16:36+02:00,01:11-04:00,360|SLLP,SKBO,20:09-04:00,23:04-05:00,300
LBSF,SKBO,05:13+03:00,17:51-05:00,1,false|LBSF,EDDI,05:13+03:00,07:54+02:00,320|EDDI,SUAA,19:28+02:00,06:08-03:00,360|SUAA,SKBO,12:02-03:00,17:51-05:00,340
LBSF,SKBO,05:13+03:00,01:22-05:00,1,false|LBSF,EDDI,05:13+03:00,07:54+02:00,320|EDDI,LATI,15:54+02:00,18:32+02:00,300|LATI,SKBO,18:50+02:00,01:22-05:00,300
LBSF,SKBO,05:13+03:00,02:06-05:00,1,false|LBSF,EDDI,05:13+03:00,07:54+02:00,320|EDDI,LOWW,14:40+02:00,16:17+02:00,300|LOWW,SKBO,19:56+02:00,02:06-05:00,360
LBSF,SKBO,05:13+03:00,21:48-05:00,0,false|LBSF,EDDI,05:13+03:00,07:54+02:00,320|EDDI,EBCI,08:41+02:00,10:31+02:00,300|EBCI,SKBO,15:43+02:00,21:48-05:00,340
LBSF,SKBO,06:16+03:00,20:00-05:00,0,false|LBSF,EDDI,06:16+03:00,08:57+02:00,320|EDDI,SKBO,14:07+02:00,20:00-05:00,300
LBSF,SKBO,06:16+03:00,01:40-05:00,1,false|LBSF,EDDI,06:16+03:00,08:57+02:00,320|EDDI,SKBO,19:47+02:00,01:40-05:00,340
LBSF,SKBO,06:16+03:00,10:52-05:00,1,false|LBSF,EDDI,06:16+03:00,08:57+02:00,320|EDDI,SEQM,21:53+02:00,04:33-05:00,360|SEQM,SKBO,08:05-05:00,10:52-05:00,320
LBSF,SKBO,06:16+03:00,21:42-05:00,1,false|LBSF,EDDI,06:16+03:00,08:57+02:00,320|EDDI,SEQM,21:53+02:00,04:33-05:00,360|SEQM,SKBO,19:55-05:00,21:42-05:00,360
LBSF,SKBO,06:16+03:00,23:15-05:00,0,false|LBSF,EDDI,06:16+03:00,08:57+02:00,320|EDDI,SVMI,13:44+02:00,19:16-04:00,320|SVMI,SKBO,21:52-04:00,23:15-05:00,360
LBSF,SKBO,06:16+03:00,08:56-05:00,1,false|LBSF,EDDI,06:16+03:00,08:57+02:00,320|EDDI,SVMI,21:02+02:00,03:34-04:00,320|SVMI,SKBO,06:33-04:00,08:56-05:00,340
LBSF,SKBO,06:16+03:00,16:58-05:00,1,false|LBSF,EDDI,06:16+03:00,08:57+02:00,320|EDDI,SVMI,21:02+02:00,03:34-04:00,320|SVMI,SKBO,14:35-04:00,16:58-05:00,340
LBSF,SKBO,06:16+03:00,23:15-05:00,1,false|LBSF,EDDI,06:16+03:00,08:57+02:00,320|EDDI,SVMI,21:02+02:00,03:34-04:00,320|SVMI,SKBO,21:52-04:00,23:15-05:00,360
LBSF,SKBO,06:16+03:00,01:32-05:00,1,false|LBSF,EDDI,06:16+03:00,08:57+02:00,320|EDDI,SBBR,11:26+02:00,19:16-03:00,320|SBBR,SKBO,21:57-03:00,01:32-05:00,360
LBSF,SKBO,06:16+03:00,07:37-05:00,1,false|LBSF,EDDI,06:16+03:00,08:57+02:00,320|EDDI,SBBR,16:48+02:00,00:38-03:00,320|SBBR,SKBO,03:02-03:00,07:37-05:00,320
LBSF,SKBO,06:16+03:00,19:28-05:00,1,false|LBSF,EDDI,06:16+03:00,08:57+02:00,320|EDDI,SBBR,16:48+02:00,00:38-03:00,320|SBBR,SKBO,15:53-03:00,19:28-05:00,360
LBSF,SKBO,06:16+03:00,01:32-05:00,2,false|LBSF,EDDI,06:16+03:00,08:57+02:00,320|EDDI,SBBR,16:48+02:00,00:38-03:00,320|SBBR,SKBO,21:57-03:00,01:32-05:00,360
LBSF,SKBO,06:16+03:00,12:18-05:00,1,false|LBSF,EDDI,06:16+03:00,08:57+02:00,320|EDDI,SPIM,21:42+02:00,05:36-05:00,300|SPIM,SKBO,08:02-05:00,12:18-05:00,300
LBSF,SKBO,06:16+03:00,22:25-05:00,1,false|LBSF,EDDI,06:16+03:00,08:57+02:00,320|EDDI,SPIM,21:42+02:00,05:36-05:00,300|SPIM,SKBO,18:09-05:00,22:25-05:00,340
LBSF,SKBO,06:16+03:00,23:04-05:00,1,false|LBSF,EDDI,06:16+03:00,08:57+02:00,320|EDDI,SLLP,16:36+02:00,01:11-04:00,360|SLLP,SKBO,20:09-04:00,23:04-05:00,300
LBSF,SKBO,06:16+03:00,17:51-05:00,1,false|LBSF,EDDI,06:16+03:00,08:57+02:00,320|EDDI,SUAA,19:28+02:00,06:08-03:00,360|SUAA,SKBO,12:02-03:00,17:51-05:00,340
LBSF,SKBO,06:16+03:00,01:22-05:00,1,false|LBSF,EDDI,06:16+03:00,08:57+02:00,320|EDDI,LATI,15:54+02:00,18:32+02:00,300|LATI,SKBO,18:50+02:00,01:22-05:00,300
LBSF,SKBO,06:16+03:00,02:06-05:00,1,false|LBSF,EDDI,06:16+03:00,08:57+02:00,320|EDDI,LOWW,14:40+02:00,16:17+02:00,300|LOWW,SKBO,19:56+02:00,02:06-05:00,360
LBSF,SKBO,15:33+03:00,01:40-05:00,1,false|LBSF,EDDI,15:33+03:00,17:14+02:00,300|EDDI,SKBO,19:47+02:00,01:40-05:00,340
LBSF,SKBO,15:33+03:00,10:52-05:00,1,false|LBSF,EDDI,15:33+03:00,17:14+02:00,300|EDDI,SEQM,21:53+02:00,04:33-05:00,360|SEQM,SKBO,08:05-05:00,10:52-05:00,320
LBSF,SKBO,15:33+03:00,21:42-05:00,1,false|LBSF,EDDI,15:33+03:00,17:14+02:00,300|EDDI,SEQM,21:53+02:00,04:33-05:00,360|SEQM,SKBO,19:55-05:00,21:42-05:00,360
LBSF,SKBO,15:33+03:00,08:56-05:00,1,false|LBSF,EDDI,15:33+03:00,17:14+02:00,300|EDDI,SVMI,21:02+02:00,03:34-04:00,320|SVMI,SKBO,06:33-04:00,08:56-05:00,340
LBSF,SKBO,15:33+03:00,16:58-05:00,1,false|LBSF,EDDI,15:33+03:00,17:14+02:00,300|EDDI,SVMI,21:02+02:00,03:34-04:00,320|SVMI,SKBO,14:35-04:00,16:58-05:00,340
LBSF,SKBO,15:33+03:00,23:15-05:00,1,false|LBSF,EDDI,15:33+03:00,17:14+02:00,300|EDDI,SVMI,21:02+02:00,03:34-04:00,320|SVMI,SKBO,21:52-04:00,23:15-05:00,360
LBSF,SKBO,15:33+03:00,12:18-05:00,1,false|LBSF,EDDI,15:33+03:00,17:14+02:00,300|EDDI,SPIM,21:42+02:00,05:36-05:00,300|SPIM,SKBO,08:02-05:00,12:18-05:00,300
LBSF,SKBO,15:33+03:00,22:25-05:00,1,false|LBSF,EDDI,15:33+03:00,17:14+02:00,300|EDDI,SPIM,21:42+02:00,05:36-05:00,300|SPIM,SKBO,18:09-05:00,22:25-05:00,340
LBSF,SKBO,15:33+03:00,17:51-05:00,1,false|LBSF,EDDI,15:33+03:00,17:14+02:00,300|EDDI,SUAA,19:28+02:00,06:08-03:00,360|SUAA,SKBO,12:02-03:00,17:51-05:00,340
LBSF,SKBO,18:53+03:00,10:52-05:00,1,false|LBSF,EDDI,18:53+03:00,20:34+02:00,300|EDDI,SEQM,21:53+02:00,04:33-05:00,360|SEQM,SKBO,08:05-05:00,10:52-05:00,320
LBSF,SKBO,18:53+03:00,21:42-05:00,1,false|LBSF,EDDI,18:53+03:00,20:34+02:00,300|EDDI,SEQM,21:53+02:00,04:33-05:00,360|SEQM,SKBO,19:55-05:00,21:42-05:00,360
LBSF,SKBO,18:53+03:00,08:56-05:00,1,false|LBSF,EDDI,18:53+03:00,20:34+02:00,300|EDDI,SVMI,21:02+02:00,03:34-04:00,320|SVMI,SKBO,06:33-04:00,08:56-05:00,340
LBSF,SKBO,18:53+03:00,16:58-05:00,1,false|LBSF,EDDI,18:53+03:00,20:34+02:00,300|EDDI,SVMI,21:02+02:00,03:34-04:00,320|SVMI,SKBO,14:35-04:00,16:58-05:00,340
LBSF,SKBO,18:53+03:00,23:15-05:00,1,false|LBSF,EDDI,18:53+03:00,20:34+02:00,300|EDDI,SVMI,21:02+02:00,03:34-04:00,320|SVMI,SKBO,21:52-04:00,23:15-05:00,360
LBSF,SKBO,18:53+03:00,12:18-05:00,1,false|LBSF,EDDI,18:53+03:00,20:34+02:00,300|EDDI,SPIM,21:42+02:00,05:36-05:00,300|SPIM,SKBO,08:02-05:00,12:18-05:00,300
LBSF,SKBO,18:53+03:00,22:25-05:00,1,false|LBSF,EDDI,18:53+03:00,20:34+02:00,300|EDDI,SPIM,21:42+02:00,05:36-05:00,300|SPIM,SKBO,18:09-05:00,22:25-05:00,340
LBSF,SKBO,01:36+03:00,12:06-05:00,0,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,SKBO,05:56+02:00,12:06-05:00,360
LBSF,SKBO,01:36+03:00,02:06-05:00,1,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,SKBO,19:56+02:00,02:06-05:00,360
LBSF,SKBO,01:36+03:00,21:42-05:00,0,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,SEQM,08:50+02:00,15:47-05:00,360|SEQM,SKBO,19:55-05:00,21:42-05:00,360
LBSF,SKBO,01:36+03:00,06:16-05:00,1,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,SEQM,20:55+02:00,03:52-05:00,360|SEQM,SKBO,04:29-05:00,06:16-05:00,340
LBSF,SKBO,01:36+03:00,10:52-05:00,1,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,SEQM,20:55+02:00,03:52-05:00,360|SEQM,SKBO,08:05-05:00,10:52-05:00,320
LBSF,SKBO,01:36+03:00,21:42-05:00,1,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,SEQM,20:55+02:00,03:52-05:00,360|SEQM,SKBO,19:55-05:00,21:42-05:00,360
LBSF,SKBO,01:36+03:00,16:58-05:00,0,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,SVMI,04:01+02:00,10:49-04:00,320|SVMI,SKBO,14:35-04:00,16:58-05:00,340
LBSF,SKBO,01:36+03:00,23:15-05:00,0,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,SVMI,04:01+02:00,10:49-04:00,320|SVMI,SKBO,21:52-04:00,23:15-05:00,360
LBSF,SKBO,01:36+03:00,01:32-05:00,1,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,SBBR,08:29+02:00,16:15-03:00,340|SBBR,SKBO,21:57-03:00,01:32-05:00,360
LBSF,SKBO,01:36+03:00,19:28-05:00,1,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,SBBR,23:32+02:00,07:18-03:00,300|SBBR,SKBO,15:53-03:00,19:28-05:00,360
LBSF,SKBO,01:36+03:00,01:32-05:00,2,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,SBBR,23:32+02:00,07:18-03:00,300|SBBR,SKBO,21:57-03:00,01:32-05:00,360
LBSF,SKBO,01:36+03:00,22:25-05:00,0,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,SPIM,06:10+02:00,15:16-05:00,360|SPIM,SKBO,18:09-05:00,22:25-05:00,340
LBSF,SKBO,01:36+03:00,08:51-05:00,1,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,SPIM,19:23+02:00,04:29-05:00,360|SPIM,SKBO,04:35-05:00,08:51-05:00,340
LBSF,SKBO,01:36+03:00,12:18-05:00,1,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,SPIM,19:23+02:00,04:29-05:00,360|SPIM,SKBO,08:02-05:00,12:18-05:00,300
LBSF,SKBO,01:36+03:00,22:25-05:00,1,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,SPIM,19:23+02:00,04:29-05:00,360|SPIM,SKBO,18:09-05:00,22:25-05:00,340
LBSF,SKBO,01:36+03:00,23:04-05:00,0,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,SLLP,07:30+02:00,16:11-04:00,320|SLLP,SKBO,20:09-04:00,23:04-05:00,300
LBSF,SKBO,01:36+03:00,17:51-05:00,1,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,SUAA,20:53+02:00,07:27-03:00,320|SUAA,SKBO,12:02-03:00,17:51-05:00,340
LBSF,SKBO,01:36+03:00,01:22-05:00,1,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,LATI,07:56+02:00,10:57+02:00,340|LATI,SKBO,18:50+02:00,01:22-05:00,300
LBSF,SKBO,01:36+03:00,01:22-05:00,1,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,LATI,14:23+02:00,17:24+02:00,320|LATI,SKBO,18:50+02:00,01:22-05:00,300
LBSF,SKBO,01:36+03:00,11:43-05:00,1,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,LATI,23:06+02:00,02:07+02:00,320|LATI,SKBO,04:11+02:00,11:43-05:00,360
LBSF,SKBO,01:36+03:00,15:49-05:00,1,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,LATI,23:06+02:00,02:07+02:00,320|LATI,SKBO,08:17+02:00,15:49-05:00,360
LBSF,SKBO,01:36+03:00,01:22-05:00,2,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,LATI,23:06+02:00,02:07+02:00,320|LATI,SKBO,18:50+02:00,01:22-05:00,300
LBSF,SKBO,01:36+03:00,20:00-05:00,0,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,EDDI,04:15+02:00,06:52+02:00,300|EDDI,SKBO,14:07+02:00,20:00-05:00,300
LBSF,SKBO,01:36+03:00,01:40-05:00,1,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,EDDI,04:15+02:00,06:52+02:00,300|EDDI,SKBO,19:47+02:00,01:40-05:00,340
LBSF,SKBO,01:36+03:00,20:00-05:00,0,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,EDDI,10:34+02:00,12:11+02:00,360|EDDI,SKBO,14:07+02:00,20:00-05:00,300
LBSF,SKBO,01:36+03:00,01:40-05:00,1,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,EDDI,10:34+02:00,12:11+02:00,360|EDDI,SKBO,19:47+02:00,01:40-05:00,340
LBSF,SKBO,01:36+03:00,01:40-05:00,1,false|LBSF,LOWW,01:36+03:00,03:41+02:00,340|LOWW,EDDI,16:02+02:00,18:39+02:00,360|EDDI,SKBO,19:47+02:00,01:40-05:00,340
LBSF,SKBO,19:22+03:00,19:28-05:00,1,false|LBSF,LOWW,19:22+03:00,21:27+02:00,300|LOWW,SBBR,23:32+02:00,07:18-03:00,300|SBBR,SKBO,15:53-03:00,19:28-05:00,360
LBSF,SKBO,19:22+03:00,01:32-05:00,2,false|LBSF,LOWW,19:22+03:00,21:27+02:00,300|LOWW,SBBR,23:32+02:00,07:18-03:00,300|SBBR,SKBO,21:57-03:00,01:32-05:00,360
LBSF,SKBO,19:22+03:00,11:43-05:00,1,false|LBSF,LOWW,19:22+03:00,21:27+02:00,300|LOWW,LATI,23:06+02:00,02:07+02:00,320|LATI,SKBO,04:11+02:00,11:43-05:00,360
LBSF,SKBO,19:22+03:00,15:49-05:00,1,false|LBSF,LOWW,19:22+03:00,21:27+02:00,300|LOWW,LATI,23:06+02:00,02:07+02:00,320|LATI,SKBO,08:17+02:00,15:49-05:00,360
LBSF,SKBO,19:22+03:00,01:22-05:00,2,false|LBSF,LOWW,19:22+03:00,21:27+02:00,300|LOWW,LATI,23:06+02:00,02:07+02:00,320|LATI,SKBO,18:50+02:00,01:22-05:00,300
LBSF,SKBO,01:02+03:00,11:54-05:00,0,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,SKBO,05:49+02:00,11:54-05:00,360
LBSF,SKBO,01:02+03:00,21:48-05:00,0,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,SKBO,15:43+02:00,21:48-05:00,340
LBSF,SKBO,01:02+03:00,06:16-05:00,1,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,SEQM,19:44+02:00,01:36-05:00,300|SEQM,SKBO,04:29-05:00,06:16-05:00,340
LBSF,SKBO,01:02+03:00,10:52-05:00,1,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,SEQM,19:44+02:00,01:36-05:00,300|SEQM,SKBO,08:05-05:00,10:52-05:00,320
LBSF,SKBO,01:02+03:00,21:42-05:00,1,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,SEQM,19:44+02:00,01:36-05:00,300|SEQM,SKBO,19:55-05:00,21:42-05:00,360
LBSF,SKBO,01:02+03:00,23:15-05:00,0,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,SVMI,09:58+02:00,14:41-04:00,360|SVMI,SKBO,21:52-04:00,23:15-05:00,360
LBSF,SKBO,01:02+03:00,23:15-05:00,0,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,SVMI,15:15+02:00,20:58-04:00,340|SVMI,SKBO,21:52-04:00,23:15-05:00,360
LBSF,SKBO,01:02+03:00,01:32-05:00,1,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,SBBR,08:43+02:00,16:45-03:00,340|SBBR,SKBO,21:57-03:00,01:32-05:00,360
LBSF,SKBO,01:02+03:00,07:37-05:00,1,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,SBBR,16:54+02:00,00:56-03:00,320|SBBR,SKBO,03:02-03:00,07:37-05:00,320
LBSF,SKBO,01:02+03:00,19:28-05:00,1,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,SBBR,16:54+02:00,00:56-03:00,320|SBBR,SKBO,15:53-03:00,19:28-05:00,360
LBSF,SKBO,01:02+03:00,22:25-05:00,0,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,SPIM,09:22+02:00,17:26-05:00,360|SPIM,SKBO,18:09-05:00,22:25-05:00,340
LBSF,SKBO,01:02+03:00,12:18-05:00,1,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,SPIM,23:50+02:00,07:54-05:00,360|SPIM,SKBO,08:02-05:00,12:18-05:00,300
LBSF,SKBO,01:02+03:00,22:25-05:00,1,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,SPIM,23:50+02:00,07:54-05:00,360|SPIM,SKBO,18:09-05:00,22:25-05:00,340
LBSF,SKBO,01:02+03:00,23:04-05:00,0,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,SLLP,06:32+02:00,14:17-04:00,320|SLLP,SKBO,20:09-04:00,23:04-05:00,300
LBSF,SKBO,01:02+03:00,23:04-05:00,1,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,SLLP,15:13+02:00,23:58-04:00,360|SLLP,SKBO,20:09-04:00,23:04-05:00,300
LBSF,SKBO,01:02+03:00,23:04-05:00,1,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,SLLP,21:56+02:00,05:41-04:00,360|SLLP,SKBO,20:09-04:00,23:04-05:00,300
LBSF,SKBO,01:02+03:00,17:51-05:00,1,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,SUAA,19:25+02:00,05:18-03:00,300|SUAA,SKBO,12:02-03:00,17:51-05:00,340
LBSF,SKBO,01:02+03:00,01:22-05:00,1,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,LATI,08:39+02:00,11:34+02:00,340|LATI,SKBO,18:50+02:00,01:22-05:00,300
LBSF,SKBO,01:02+03:00,12:46-05:00,0,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,EDDI,04:36+02:00,06:26+02:00,340|EDDI,SKBO,06:53+02:00,12:46-05:00,340
LBSF,SKBO,01:02+03:00,20:00-05:00,0,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,EDDI,04:36+02:00,06:26+02:00,340|EDDI,SKBO,14:07+02:00,20:00-05:00,300
LBSF,SKBO,01:02+03:00,01:40-05:00,1,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,EDDI,04:36+02:00,06:26+02:00,340|EDDI,SKBO,19:47+02:00,01:40-05:00,340
LBSF,SKBO,01:02+03:00,20:00-05:00,0,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,EDDI,09:39+02:00,11:29+02:00,300|EDDI,SKBO,14:07+02:00,20:00-05:00,300
LBSF,SKBO,01:02+03:00,01:40-05:00,1,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,EDDI,09:39+02:00,11:29+02:00,300|EDDI,SKBO,19:47+02:00,01:40-05:00,340
LBSF,SKBO,01:02+03:00,01:40-05:00,1,false|LBSF,EBCI,01:02+03:00,04:11+02:00,320|EBCI,EDDI,14:30+02:00,16:20+02:00,340|EDDI,SKBO,19:47+02:00,01:40-05:00,340
LBSF,SKBO,14:24+03:00,06:16-05:00,1,false|LBSF,EBCI,14:24+03:00,17:33+02:00,360|EBCI,SEQM,19:44+02:00,01:36-05:00,300|SEQM,SKBO,04:29-05:00,06:16-05:00,340
LBSF,SKBO,14:24+03:00,10:52-05:00,1,false|LBSF,EBCI,14:24+03:00,17:33+02:00,360|EBCI,SEQM,19:44+02:00,01:36-05:00,300|SEQM,SKBO,08:05-05:00,10:52-05:00,320
LBSF,SKBO,14:24+03:00,21:42-05:00,1,false|LBSF,EBCI,14:24+03:00,17:33+02:00,360|EBCI,SEQM,19:44+02:00,01:36-05:00,300|SEQM,SKBO,19:55-05:00,21:42-05:00,360
LBSF,SKBO,14:24+03:00,12:18-05:00,1,false|LBSF,EBCI,14:24+03:00,17:33+02:00,360|EBCI,SPIM,23:50+02:00,07:54-05:00,360|SPIM,SKBO,08:02-05:00,12:18-05:00,300
LBSF,SKBO,14:24+03:00,22:25-05:00,1,false|LBSF,EBCI,14:24+03:00,17:33+02:00,360|EBCI,SPIM,23:50+02:00,07:54-05:00,360|SPIM,SKBO,18:09-05:00,22:25-05:00,340
LBSF,SKBO,14:24+03:00,23:04-05:00,1,false|LBSF,EBCI,14:24+03:00,17:33+02:00,360|EBCI,SLLP,21:56+02:00,05:41-04:00,360|SLLP,SKBO,20:09-04:00,23:04-05:00,300
LBSF,SKBO,14:24+03:00,17:51-05:00,1,false|LBSF,EBCI,14:24+03:00,17:33+02:00,360|EBCI,SUAA,19:25+02:00,05:18-03:00,300|SUAA,SKBO,12:02-03:00,17:51-05:00,340
LBSF,SKBO,21:32+03:00,11:54-05:00,1,false|LBSF,EBCI,21:32+03:00,00:41+02:00,340|EBCI,SKBO,05:49+02:00,11:54-05:00,360
LBSF,SKBO,21:32+03:00,21:48-05:00,1,false|LBSF,EBCI,21:32+03:00,00:41+02:00,340|EBCI,SKBO,15:43+02:00,21:48-05:00,340
LBSF,SKBO,21:32+03:00,21:42-05:00,1,false|LBSF,EBCI,21:32+03:00,00:41+02:00,340|EBCI,SEQM,02:22+02:00,08:14-05:00,340|SEQM,SKBO,19:55-05:00,21:42-05:00,360
LBSF,SKBO,21:32+03:00,06:16-05:00,2,false|LBSF,EBCI,21:32+03:00,00:41+02:00,340|EBCI,SEQM,19:44+02:00,01:36-05:00,300|SEQM,SKBO,04:29-05:00,06:16-05:00,340
LBSF,SKBO,21:32+03:00,10:52-05:00,2,false|LBSF,EBCI,21:32+03:00,00:41+02:00,340|EBCI,SEQM,19:44+02:00,01:36-05:00,300|SEQM,SKBO,08:05-05:00,10:52-05:00,320
LBSF,SKBO,21:32+03:00,23:15-05:00,1,false|LBSF,EBCI,21:32+03:00,00:41+02:00,340|EBCI,SVMI,09:58+02:00,14:41-04:00,360|SVMI,SKBO,21:52-04:00,23:15-05:00,360
LBSF,SKBO,21:32+03:00,23:15-05:00,1,false|LBSF,EBCI,21:32+03:00,00:41+02:00,340|EBCI,SVMI,15:15+02:00,20:58-04:00,340|SVMI,SKBO,21:52-04:00,23:15-05:00,360
LBSF,SKBO,21:32+03:00,19:28-05:00,1,false|LBSF,EBCI,21:32+03:00,00:41+02:00,340|EBCI,SBBR,01:55+02:00,09:57-03:00,320|SBBR,SKBO,15:53-03:00,19:28-05:00,360
LBSF,SKBO,21:32+03:00,01:32-05:00,2,false|LBSF,EBCI,21:32+03:00,00:41+02:00,340|EBCI,SBBR,01:55+02:00,09:57-03:00,320|SBBR,SKBO,21:57-03:00,01:32-05:00,360
LBSF,SKBO,21:32+03:00,01:32-05:00,2,false|LBSF,EBCI,21:32+03:00,00:41+02:00,340|EBCI,SBBR,08:43+02:00,16:45-03:00,340|SBBR,SKBO,21:57-03:00,01:32-05:00,360
LBSF,SKBO,21:32+03:00,07:37-05:00,2,false|LBSF,EBCI,21:32+03:00,00:41+02:00,340|EBCI,SBBR,16:54+02:00,00:56-03:00,320|SBBR,SKBO,03:02-03:00,07:37-05:00,320
LBSF,SKBO,21:32+03:00,19:28-05:00,2,false|LBSF,EBCI,21:32+03:00,00:41+02:00,340|EBCI,SBBR,16:54+02:00,00:56-03:00,320|SBBR,SKBO,15:53-03:00,19:28-05:00,360
LBSF,SKBO,21:32+03:00,22:25-05:00,1,false|LBSF,EBCI,21:32+03:00,00:41+02:00,340|EBCI,SPIM,01:41+02:00,09:45-05:00,320|SPIM,SKBO,18:09-05:00,22:25-05:00,340
