LDZA,SKBO,06:29+02:00,21:42-05:00,0,false|164,LDZA,SEQM,06:29+02:00,13:28-05:00,320|6,SEQM,SKBO,19:55-05:00,21:42-05:00,360
LDZA,SEQM,18:35+02:00,19:03-05:00,1,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|792,LATI,SCEL,22:15+02:00,10:40-03:00,300|100,SCEL,SEQM,15:19-03:00,19:03-05:00,360
LDZA,SEQM,18:35+02:00,01:50-05:00,2,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|792,LATI,SCEL,22:15+02:00,10:40-03:00,300|102,SCEL,SEQM,21:06-03:00,01:50-05:00,320
LDZA,SEQM,18:35+02:00,15:59-05:00,1,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|879,LATI,EDDI,23:42+02:00,02:20+02:00,340|130,EDDI,SEQM,08:19+02:00,15:59-05:00,320
LDZA,SEQM,18:35+02:00,20:12-05:00,1,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|879,LATI,EDDI,23:42+02:00,02:20+02:00,340|132,EDDI,SEQM,13:32+02:00,20:12-05:00,320
LDZA,SEQM,18:35+02:00,04:33-05:00,2,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|879,LATI,EDDI,23:42+02:00,02:20+02:00,340|134,EDDI,SEQM,21:53+02:00,04:33-05:00,360
LDZA,SEQM,18:35+02:00,09:41-05:00,1,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|887,LATI,LOWW,21:31+02:00,00:32+02:00,360|136,LOWW,SEQM,02:44+02:00,09:41-05:00,360
LDZA,SEQM,18:35+02:00,15:47-05:00,1,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|887,LATI,LOWW,21:31+02:00,00:32+02:00,360|138,LOWW,SEQM,08:50+02:00,15:47-05:00,360
LDZA,SEQM,18:35+02:00,21:53-05:00,1,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|887,LATI,LOWW,21:31+02:00,00:32+02:00,360|140,LOWW,SEQM,14:56+02:00,21:53-05:00,320
LDZA,SEQM,18:35+02:00,03:52-05:00,2,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|887,LATI,LOWW,21:31+02:00,00:32+02:00,360|142,LOWW,SEQM,20:55+02:00,03:52-05:00,360
LDZA,SEQM,18:35+02:00,13:00-05:00,1,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|923,LATI,EKCH,22:57+02:00,02:00+02:00,340|172,EKCH,SEQM,06:25+02:00,13:00-05:00,360
LDZA,SEQM,18:35+02:00,23:47-05:00,1,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|923,LATI,EKCH,22:57+02:00,02:00+02:00,340|174,EKCH,SEQM,16:12+02:00,23:47-05:00,360
LDZA,SEQM,18:35+02:00,03:41-05:00,2,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|923,LATI,EKCH,22:57+02:00,02:00+02:00,340|176,EKCH,SEQM,20:06+02:00,03:41-05:00,340
LDZA,SEQM,18:35+02:00,11:15-05:00,1,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|931,LATI,EHAM,20:50+02:00,00:56+02:00,340|178,EHAM,SEQM,05:21+02:00,11:15-05:00,340
LDZA,SEQM,18:35+02:00,19:30-05:00,1,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|931,LATI,EHAM,20:50+02:00,00:56+02:00,340|180,EHAM,SEQM,13:36+02:00,19:30-05:00,320
LDZA,SEQM,18:35+02:00,03:59-05:00,2,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|931,LATI,EHAM,20:50+02:00,00:56+02:00,340|182,EHAM,SEQM,21:05+02:00,03:59-05:00,300
LDZA,SEQM,18:35+02:00,23:33-05:00,1,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|939,LATI,VIDP,20:29+02:00,07:17+05:00,300|186,VIDP,SEQM,11:32+05:00,23:33-05:00,360
LDZA,SEQM,18:35+02:00,01:48-05:00,2,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|939,LATI,VIDP,20:29+02:00,07:17+05:00,300|188,VIDP,SEQM,13:47+05:00,01:48-05:00,360
LDZA,SEQM,18:35+02:00,08:55-05:00,2,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|939,LATI,VIDP,20:29+02:00,07:17+05:00,300|190,VIDP,SEQM,20:54+05:00,08:55-05:00,320
LDZA,SEQM,18:35+02:00,17:49-05:00,1,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|945,LATI,RKSI,22:09+02:00,07:05+09:00,300|196,RKSI,SEQM,17:14+09:00,17:49-05:00,320
LDZA,SEQM,18:35+02:00,20:23-05:00,1,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|945,LATI,RKSI,22:09+02:00,07:05+09:00,300|198,RKSI,SEQM,20:48+09:00,20:23-05:00,300
LDZA,SEQM,18:35+02:00,17:21-05:00,1,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|951,LATI,VTBS,21:17+02:00,08:21+07:00,320|200,VTBS,SEQM,15:02+07:00,17:21-05:00,360
LDZA,SEQM,18:35+02:00,21:28-05:00,1,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|957,LATI,OMDB,23:37+02:00,07:21+04:00,320|204,OMDB,SEQM,11:32+04:00,21:28-05:00,340
LDZA,SEQM,18:35+02:00,00:31-05:00,2,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|957,LATI,OMDB,23:37+02:00,07:21+04:00,320|206,OMDB,SEQM,14:35+04:00,00:31-05:00,360
LDZA,SEQM,18:35+02:00,09:06-05:00,2,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|957,LATI,OMDB,23:37+02:00,07:21+04:00,320|208,OMDB,SEQM,23:10+04:00,09:06-05:00,320
LDZA,SEQM,18:35+02:00,13:02-05:00,1,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|973,LATI,WMKK,20:40+02:00,09:14+08:00,300|228,WMKK,SEQM,12:44+08:00,13:02-05:00,360
LDZA,SEQM,18:35+02:00,21:36-05:00,1,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|973,LATI,WMKK,20:40+02:00,09:14+08:00,300|230,WMKK,SEQM,20:18+08:00,21:36-05:00,340
LDZA,SEQM,18:35+02:00,16:40-05:00,1,false|918,LDZA,LATI,18:35+02:00,20:13+02:00,300|979,LATI,WSSS,21:53+02:00,10:35+08:00,300|232,WSSS,SEQM,15:22+08:00,16:40-05:00,360
LDZA,SEQM,03:43+02:00,16:09-05:00,0,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|58,EDDI,SKBO,06:53+02:00,12:46-05:00,340|3,SKBO,SEQM,14:22-05:00,16:09-05:00,320
LDZA,SEQM,03:43+02:00,21:48-05:00,0,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|58,EDDI,SKBO,06:53+02:00,12:46-05:00,340|5,SKBO,SEQM,19:01-05:00,21:48-05:00,340
LDZA,SEQM,03:43+02:00,05:21-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|62,EDDI,SKBO,19:47+02:00,01:40-05:00,340|1,SKBO,SEQM,03:34-05:00,05:21-05:00,300
LDZA,SEQM,03:43+02:00,16:09-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|62,EDDI,SKBO,19:47+02:00,01:40-05:00,340|3,SKBO,SEQM,14:22-05:00,16:09-05:00,320
LDZA,SEQM,03:43+02:00,21:48-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|62,EDDI,SKBO,19:47+02:00,01:40-05:00,340|5,SKBO,SEQM,19:01-05:00,21:48-05:00,340
LDZA,SEQM,03:43+02:00,15:59-05:00,0,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|130,EDDI,SEQM,08:19+02:00,15:59-05:00,320
LDZA,SEQM,03:43+02:00,20:12-05:00,0,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|132,EDDI,SEQM,13:32+02:00,20:12-05:00,320
LDZA,SEQM,03:43+02:00,04:33-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|134,EDDI,SEQM,21:53+02:00,04:33-05:00,360
LDZA,SEQM,03:43+02:00,23:48-05:00,0,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|290,EDDI,SVMI,13:44+02:00,19:16-04:00,320|76,SVMI,SEQM,20:38-04:00,23:48-05:00,340
LDZA,SEQM,03:43+02:00,17:59-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|292,EDDI,SVMI,21:02+02:00,03:34-04:00,320|74,SVMI,SEQM,14:49-04:00,17:59-05:00,300
LDZA,SEQM,03:43+02:00,23:48-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|292,EDDI,SVMI,21:02+02:00,03:34-04:00,320|76,SVMI,SEQM,20:38-04:00,23:48-05:00,340
LDZA,SEQM,03:43+02:00,23:39-05:00,0,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|438,EDDI,SBBR,11:26+02:00,19:16-03:00,320|82,SBBR,SEQM,19:53-03:00,23:39-05:00,340
LDZA,SEQM,03:43+02:00,11:14-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|440,EDDI,SBBR,16:48+02:00,00:38-03:00,320|78,SBBR,SEQM,07:28-03:00,11:14-05:00,360
LDZA,SEQM,03:43+02:00,12:01-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|440,EDDI,SBBR,16:48+02:00,00:38-03:00,320|80,SBBR,SEQM,08:15-03:00,12:01-05:00,340
LDZA,SEQM,03:43+02:00,23:39-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|440,EDDI,SBBR,16:48+02:00,00:38-03:00,320|82,SBBR,SEQM,19:53-03:00,23:39-05:00,340
LDZA,SEQM,03:43+02:00,01:44-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|592,EDDI,SPIM,12:16+02:00,20:10-05:00,340|88,SPIM,SEQM,22:03-05:00,01:44-05:00,320
LDZA,SEQM,03:43+02:00,09:43-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|594,EDDI,SPIM,21:42+02:00,05:36-05:00,300|84,SPIM,SEQM,06:02-05:00,09:43-05:00,320
LDZA,SEQM,03:43+02:00,15:33-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|594,EDDI,SPIM,21:42+02:00,05:36-05:00,300|86,SPIM,SEQM,12:52-05:00,15:33-05:00,360
LDZA,SEQM,03:43+02:00,01:44-05:00,2,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|594,EDDI,SPIM,21:42+02:00,05:36-05:00,300|88,SPIM,SEQM,22:03-05:00,01:44-05:00,320
LDZA,SEQM,03:43+02:00,01:49-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|652,EDDI,SLLP,11:36+02:00,20:11-04:00,300|96,SLLP,SEQM,22:12-04:00,01:49-05:00,360
LDZA,SEQM,03:43+02:00,06:20-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|654,EDDI,SLLP,16:36+02:00,01:11-04:00,360|90,SLLP,SEQM,03:43-04:00,06:20-05:00,320
LDZA,SEQM,03:43+02:00,13:23-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|654,EDDI,SLLP,16:36+02:00,01:11-04:00,360|92,SLLP,SEQM,10:46-04:00,13:23-05:00,320
LDZA,SEQM,03:43+02:00,20:31-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|654,EDDI,SLLP,16:36+02:00,01:11-04:00,360|94,SLLP,SEQM,17:54-04:00,20:31-05:00,320
LDZA,SEQM,03:43+02:00,01:49-05:00,2,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|654,EDDI,SLLP,16:36+02:00,01:11-04:00,360|96,SLLP,SEQM,22:12-04:00,01:49-05:00,360
LDZA,SEQM,03:43+02:00,14:42-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|826,EDDI,SUAA,19:28+02:00,06:08-03:00,360|118,SUAA,SEQM,09:09-03:00,14:42-05:00,320
LDZA,SEQM,03:43+02:00,21:11-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|826,EDDI,SUAA,19:28+02:00,06:08-03:00,360|120,SUAA,SEQM,16:38-03:00,21:11-05:00,320
LDZA,SEQM,03:43+02:00,21:53-05:00,0,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|981,EDDI,LOWW,07:30+02:00,09:07+02:00,360|140,LOWW,SEQM,14:56+02:00,21:53-05:00,320
LDZA,SEQM,03:43+02:00,03:52-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|981,EDDI,LOWW,07:30+02:00,09:07+02:00,360|142,LOWW,SEQM,20:55+02:00,03:52-05:00,360
LDZA,SEQM,03:43+02:00,03:52-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|983,EDDI,LOWW,14:40+02:00,16:17+02:00,300|142,LOWW,SEQM,20:55+02:00,03:52-05:00,360
LDZA,SEQM,03:43+02:00,01:36-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|989,EDDI,EBCI,08:41+02:00,10:31+02:00,300|146,EBCI,SEQM,19:44+02:00,01:36-05:00,300
LDZA,SEQM,03:43+02:00,01:36-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|991,EDDI,EBCI,15:15+02:00,17:05+02:00,340|146,EBCI,SEQM,19:44+02:00,01:36-05:00,300
LDZA,SEQM,03:43+02:00,06:31-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|999,EDDI,UMMS,13:57+02:00,17:13+03:00,300|150,UMMS,SEQM,23:36+03:00,06:31-05:00,360
LDZA,SEQM,03:43+02:00,10:35-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|1001,EDDI,UMMS,22:48+02:00,02:04+03:00,300|148,UMMS,SEQM,03:40+03:00,10:35-05:00,340
LDZA,SEQM,03:43+02:00,05:05-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|1005,EDDI,LBSF,10:30+02:00,14:11+03:00,320|156,LBSF,SEQM,22:22+03:00,05:05-05:00,300
LDZA,SEQM,03:43+02:00,05:05-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|1007,EDDI,LBSF,17:09+02:00,21:50+03:00,320|156,LBSF,SEQM,22:22+03:00,05:05-05:00,300
LDZA,SEQM,03:43+02:00,21:17-05:00,0,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|1013,EDDI,LKPR,08:30+02:00,10:47+02:00,320|160,LKPR,SEQM,14:31+02:00,21:17-05:00,360
LDZA,SEQM,03:43+02:00,23:16-05:00,0,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|1013,EDDI,LKPR,08:30+02:00,10:47+02:00,320|162,LKPR,SEQM,16:30+02:00,23:16-05:00,300
LDZA,SEQM,03:43+02:00,03:41-05:00,1,false|1018,LDZA,EDDI,03:43+02:00,06:44+02:00,360|1027,EDDI,EKCH,16:46+02:00,18:11+02:00,320|176,EKCH,SEQM,20:06+02:00,03:41-05:00,340
LDZA,SEQM,08:53+02:00,05:21-05:00,1,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|62,EDDI,SKBO,19:47+02:00,01:40-05:00,340|1,SKBO,SEQM,03:34-05:00,05:21-05:00,300
LDZA,SEQM,08:53+02:00,16:09-05:00,1,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|62,EDDI,SKBO,19:47+02:00,01:40-05:00,340|3,SKBO,SEQM,14:22-05:00,16:09-05:00,320
LDZA,SEQM,08:53+02:00,21:48-05:00,1,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|62,EDDI,SKBO,19:47+02:00,01:40-05:00,340|5,SKBO,SEQM,19:01-05:00,21:48-05:00,340
LDZA,SEQM,08:53+02:00,20:12-05:00,0,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|132,EDDI,SEQM,13:32+02:00,20:12-05:00,320
LDZA,SEQM,08:53+02:00,04:33-05:00,1,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|134,EDDI,SEQM,21:53+02:00,04:33-05:00,360
LDZA,SEQM,08:53+02:00,23:48-05:00,0,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|290,EDDI,SVMI,13:44+02:00,19:16-04:00,320|76,SVMI,SEQM,20:38-04:00,23:48-05:00,340
LDZA,SEQM,08:53+02:00,17:59-05:00,1,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|292,EDDI,SVMI,21:02+02:00,03:34-04:00,320|74,SVMI,SEQM,14:49-04:00,17:59-05:00,300
LDZA,SEQM,08:53+02:00,23:48-05:00,1,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|292,EDDI,SVMI,21:02+02:00,03:34-04:00,320|76,SVMI,SEQM,20:38-04:00,23:48-05:00,340
LDZA,SEQM,08:53+02:00,11:14-05:00,1,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|440,EDDI,SBBR,16:48+02:00,00:38-03:00,320|78,SBBR,SEQM,07:28-03:00,11:14-05:00,360
LDZA,SEQM,08:53+02:00,12:01-05:00,1,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|440,EDDI,SBBR,16:48+02:00,00:38-03:00,320|80,SBBR,SEQM,08:15-03:00,12:01-05:00,340
LDZA,SEQM,08:53+02:00,23:39-05:00,1,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|440,EDDI,SBBR,16:48+02:00,00:38-03:00,320|82,SBBR,SEQM,19:53-03:00,23:39-05:00,340
LDZA,SEQM,08:53+02:00,01:44-05:00,1,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|592,EDDI,SPIM,12:16+02:00,20:10-05:00,340|88,SPIM,SEQM,22:03-05:00,01:44-05:00,320
LDZA,SEQM,08:53+02:00,09:43-05:00,1,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|594,EDDI,SPIM,21:42+02:00,05:36-05:00,300|84,SPIM,SEQM,06:02-05:00,09:43-05:00,320
LDZA,SEQM,08:53+02:00,15:33-05:00,1,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|594,EDDI,SPIM,21:42+02:00,05:36-05:00,300|86,SPIM,SEQM,12:52-05:00,15:33-05:00,360
LDZA,SEQM,08:53+02:00,01:44-05:00,2,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|594,EDDI,SPIM,21:42+02:00,05:36-05:00,300|88,SPIM,SEQM,22:03-05:00,01:44-05:00,320
LDZA,SEQM,08:53+02:00,06:20-05:00,1,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|654,EDDI,SLLP,16:36+02:00,01:11-04:00,360|90,SLLP,SEQM,03:43-04:00,06:20-05:00,320
LDZA,SEQM,08:53+02:00,13:23-05:00,1,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|654,EDDI,SLLP,16:36+02:00,01:11-04:00,360|92,SLLP,SEQM,10:46-04:00,13:23-05:00,320
LDZA,SEQM,08:53+02:00,20:31-05:00,1,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|654,EDDI,SLLP,16:36+02:00,01:11-04:00,360|94,SLLP,SEQM,17:54-04:00,20:31-05:00,320
LDZA,SEQM,08:53+02:00,01:49-05:00,2,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|654,EDDI,SLLP,16:36+02:00,01:11-04:00,360|96,SLLP,SEQM,22:12-04:00,01:49-05:00,360
LDZA,SEQM,08:53+02:00,14:42-05:00,1,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|826,EDDI,SUAA,19:28+02:00,06:08-03:00,360|118,SUAA,SEQM,09:09-03:00,14:42-05:00,320
LDZA,SEQM,08:53+02:00,21:11-05:00,1,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|826,EDDI,SUAA,19:28+02:00,06:08-03:00,360|120,SUAA,SEQM,16:38-03:00,21:11-05:00,320
LDZA,SEQM,08:53+02:00,03:52-05:00,1,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|983,EDDI,LOWW,14:40+02:00,16:17+02:00,300|142,LOWW,SEQM,20:55+02:00,03:52-05:00,360
LDZA,SEQM,08:53+02:00,01:36-05:00,1,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|991,EDDI,EBCI,15:15+02:00,17:05+02:00,340|146,EBCI,SEQM,19:44+02:00,01:36-05:00,300
LDZA,SEQM,08:53+02:00,06:31-05:00,1,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|999,EDDI,UMMS,13:57+02:00,17:13+03:00,300|150,UMMS,SEQM,23:36+03:00,06:31-05:00,360
LDZA,SEQM,08:53+02:00,10:35-05:00,1,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|1001,EDDI,UMMS,22:48+02:00,02:04+03:00,300|148,UMMS,SEQM,03:40+03:00,10:35-05:00,340
LDZA,SEQM,08:53+02:00,06:31-05:00,2,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|1001,EDDI,UMMS,22:48+02:00,02:04+03:00,300|150,UMMS,SEQM,23:36+03:00,06:31-05:00,360
LDZA,SEQM,08:53+02:00,05:05-05:00,1,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|1007,EDDI,LBSF,17:09+02:00,21:50+03:00,320|156,LBSF,SEQM,22:22+03:00,05:05-05:00,300
LDZA,SEQM,08:53+02:00,03:41-05:00,1,false|1020,LDZA,EDDI,08:53+02:00,11:54+02:00,320|1027,EDDI,EKCH,16:46+02:00,18:11+02:00,320|176,EKCH,SEQM,20:06+02:00,03:41-05:00,340
LDZA,SEQM,22:26+02:00,16:09-05:00,1,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|56,EDDI,SKBO,03:48+02:00,09:41-05:00,300|3,SKBO,SEQM,14:22-05:00,16:09-05:00,320
LDZA,SEQM,22:26+02:00,21:48-05:00,1,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|56,EDDI,SKBO,03:48+02:00,09:41-05:00,300|5,SKBO,SEQM,19:01-05:00,21:48-05:00,340
LDZA,SEQM,22:26+02:00,16:09-05:00,1,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|58,EDDI,SKBO,06:53+02:00,12:46-05:00,340|3,SKBO,SEQM,14:22-05:00,16:09-05:00,320
LDZA,SEQM,22:26+02:00,21:48-05:00,1,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|58,EDDI,SKBO,06:53+02:00,12:46-05:00,340|5,SKBO,SEQM,19:01-05:00,21:48-05:00,340
LDZA,SEQM,22:26+02:00,05:21-05:00,2,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|62,EDDI,SKBO,19:47+02:00,01:40-05:00,340|1,SKBO,SEQM,03:34-05:00,05:21-05:00,300
LDZA,SEQM,22:26+02:00,16:09-05:00,2,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|62,EDDI,SKBO,19:47+02:00,01:40-05:00,340|3,SKBO,SEQM,14:22-05:00,16:09-05:00,320
LDZA,SEQM,22:26+02:00,21:48-05:00,2,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|62,EDDI,SKBO,19:47+02:00,01:40-05:00,340|5,SKBO,SEQM,19:01-05:00,21:48-05:00,340
LDZA,SEQM,22:26+02:00,09:45-05:00,1,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|128,EDDI,SEQM,02:05+02:00,09:45-05:00,300
LDZA,SEQM,22:26+02:00,15:59-05:00,1,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|130,EDDI,SEQM,08:19+02:00,15:59-05:00,320
LDZA,SEQM,22:26+02:00,20:12-05:00,1,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|132,EDDI,SEQM,13:32+02:00,20:12-05:00,320
LDZA,SEQM,22:26+02:00,04:33-05:00,2,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|134,EDDI,SEQM,21:53+02:00,04:33-05:00,360
LDZA,SEQM,22:26+02:00,17:59-05:00,1,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|288,EDDI,SVMI,03:48+02:00,09:20-04:00,360|74,SVMI,SEQM,14:49-04:00,17:59-05:00,300
LDZA,SEQM,22:26+02:00,23:48-05:00,1,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|288,EDDI,SVMI,03:48+02:00,09:20-04:00,360|76,SVMI,SEQM,20:38-04:00,23:48-05:00,340
LDZA,SEQM,22:26+02:00,23:48-05:00,1,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|290,EDDI,SVMI,13:44+02:00,19:16-04:00,320|76,SVMI,SEQM,20:38-04:00,23:48-05:00,340
LDZA,SEQM,22:26+02:00,23:39-05:00,1,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|436,EDDI,SBBR,04:47+02:00,12:37-03:00,320|82,SBBR,SEQM,19:53-03:00,23:39-05:00,340
LDZA,SEQM,22:26+02:00,23:39-05:00,1,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|438,EDDI,SBBR,11:26+02:00,19:16-03:00,320|82,SBBR,SEQM,19:53-03:00,23:39-05:00,340
LDZA,SEQM,22:26+02:00,01:44-05:00,2,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|592,EDDI,SPIM,12:16+02:00,20:10-05:00,340|88,SPIM,SEQM,22:03-05:00,01:44-05:00,320
LDZA,SEQM,22:26+02:00,09:43-05:00,2,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|594,EDDI,SPIM,21:42+02:00,05:36-05:00,300|84,SPIM,SEQM,06:02-05:00,09:43-05:00,320
LDZA,SEQM,22:26+02:00,15:33-05:00,2,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|594,EDDI,SPIM,21:42+02:00,05:36-05:00,300|86,SPIM,SEQM,12:52-05:00,15:33-05:00,360
LDZA,SEQM,22:26+02:00,20:31-05:00,1,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|650,EDDI,SLLP,06:17+02:00,15:52-04:00,360|94,SLLP,SEQM,17:54-04:00,20:31-05:00,320
LDZA,SEQM,22:26+02:00,01:49-05:00,2,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|650,EDDI,SLLP,06:17+02:00,15:52-04:00,360|96,SLLP,SEQM,22:12-04:00,01:49-05:00,360
LDZA,SEQM,22:26+02:00,01:49-05:00,2,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|652,EDDI,SLLP,11:36+02:00,20:11-04:00,300|96,SLLP,SEQM,22:12-04:00,01:49-05:00,360
LDZA,SEQM,22:26+02:00,21:11-05:00,1,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|824,EDDI,SUAA,01:44+02:00,12:24-03:00,360|120,SUAA,SEQM,16:38-03:00,21:11-05:00,320
LDZA,SEQM,22:26+02:00,14:42-05:00,2,false|1022,LDZA,EDDI,22:26+02:00,01:27+02:00,360|826,EDDI,SUAA,19:28+02:00,06:08-03:00,360|118,SUAA,SEQM,09:09-03:00,14:42-05:00,320
